"","x"
"351","salorthids_orthids_aridisols"
"352","salusterts_usterts_vertisols"
"353","sapristels_histels_gelisols"
"354","sideraquods_aquods_spodosols"
"355","sphagnofibrists_fibrists_histosols"
"356","sulfaquents_aquents_entisols"
"357","sulfaquepts_aquepts_inceptisols"
"358","sulfihemists_hemists_histosols"
"359","sulfisaprists_saprists_histosols"
"360","sulfiwassents_wassents_entisols"
"361","sulfiwassists_wassists_histosols"
"362","torrerts_torrerts_vertisols"
"363","torriarents_arents_entisols"
"364","torrifluvents_fluvents_entisols"
"365","torrifolists_folists_histosols"
"366","torriorthents_fluvents_entisols"
"367","torriorthents_orthents_entisols"
"368","torripsamments_psamments_entisols"
"369","tropaqualfs_aqualfs_alfisols"
"370","tropaquents_aquents_entisols"
"371","tropaquepts_aquepts_aridisols"
"372","tropaquepts_aquepts_inceptisols"
"373","tropaquods_aquods_spodosols"
"374","tropaquults_aquults_ultisols"
"375","tropofluvents_fluvents_entisols"
"376","tropohemists_hemists_histosols"
"377","tropohumods_humods_spodosols"
"378","tropopsamments_psamments_entisols"
"379","troporthents_orthents_entisols"
"380","troporthods_orthods_spodosols"
"381","troposaprists_saprists_histosols"
"382","tropudalfs_udalfs_alfisols"
"383","tropudults_udults_ultisols"
"384","udarents_arents_entisols"
"385","udifluvents_fluvents_entisols"
"386","udifluvents_hemists_entisols"
"387","udifolists_folists_histosols"
"388","udipsamments_aquents_inceptisols"
"389","udipsamments_psamments_entisols"
"390","udivitrands_vitrands_andisols"
"391","udorthents_orthents_entisols"
"392","umbraqualfs_aqualfs_alfisols"
"393","umbraquox_aquox_oxisols"
"394","umbraquults_aquults_ultisols"
"395","umbriorthox_orthox_oxisols"
"396","ustarents_arents_entisols"
"397","ustifluvents_fluvents_entisols"
"398","ustifolists_folists_histosols"
"399","ustipsamments_psamments_entisols"
"400","ustivitrands_vitrands_andisols"
"401","ustivitrands_vitrands_inceptisols"
"402","ustochrepts_ochrepts_inceptisols"
"403","ustorthents__"
"404","ustorthents_orthents_entisols"
"405","ustropepts_tropepts_inceptisols"
"406","vermaqualfs_aqualfs_alfisols"
"407","vermiborolls_borolls_mollisols"
"408","vitrandepts_andepts_inceptisols"
"409","vitraquands_aquands_andisols"
"410","vitricryands_cryands_andisols"
"411","vitritorrands_torrands_andisols"
"412","vitrixerands_xerands_andisols"
"413","xerarents_arents_entisols"
"414","xerochrepts_ochrepts_aridisols"
"415","xerochrepts_ochrepts_inceptisols"
"416","xerofluvents_fluvents_entisols"
"417","xeropsamments_psamments_entisols"
"418","xerorthents_orthents_entisols"
"419","xerumbrepts_umbrepts_inceptisols"
