corr_taxsubgrp,count,WRB_2006_subgroup,split_names,split_names,split_names,match_with_USDA_GreatGroup_table
ultic palexeralfs,41,Haplic Luvisols / Haplic Lixisols,ultic,palexeralfs,,Haplic Luvisols / Haplic Lixisols
fluvaquentic haplaquolls,40,,fluvaquentic,haplaquolls,,
humic dystrudepts,39,Haplic Cambisols (Dystric),humic,dystrudepts,,Haplic Cambisols (Dystric)
psammentic hapludalfs,39,Haplic Luvisols,psammentic,hapludalfs,,Haplic Luvisols
typic ustorthents,39,Haplic Regosols,typic,ustorthents,,Haplic Regosols
aquic dystrudepts,38,Haplic Cambisols (Dystric),aquic,dystrudepts,,Haplic Cambisols (Dystric)
aridic argiborolls,38,,aridic,argiborolls,,
dystric xeropsamments,38,Haplic Arenosols,dystric,xeropsamments,,Haplic Arenosols
lithic ustic torriorthents,38,Haplic Regosols (Eutric),,torriorthents,,Haplic Regosols (Eutric)
typic humaquepts,38,,typic,humaquepts,,
vertic argiustolls,38,Luvic Chernozems / Haplic Kastanozems,vertic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
xeric haplohumults,38,Haplic Alisols / Haplic Acrisols (Humic),xeric,haplohumults,,Haplic Alisols / Haplic Acrisols (Humic)
aeric albaqualfs,37,Haplic Planosols,aeric,albaqualfs,,Haplic Planosols
calcic haploxerolls,37,Haplic Kastanozems / Haplic Chernozems,calcic,haploxerolls,,Haplic Kastanozems / Haplic Chernozems
calcidic argiustolls,37,Luvic Chernozems / Haplic Kastanozems,calcidic,argiustolls,,Luvic Chernozems / Haplic Kastanozems
mollic endoaquepts,37,Haplic Gleysols,mollic,endoaquepts,,Haplic Gleysols
pachic argiudolls,37,Luvic Phaeozems,pachic,argiudolls,,Luvic Phaeozems
sodic haplusterts,37,Haplic Vertisols,sodic,haplusterts,,Haplic Vertisols
typic endoaquults,37,Haplic Alisols / Gleyic Acrisols,typic,endoaquults,,Haplic Alisols / Gleyic Acrisols
typic pelluderts,37,,typic,pelluderts,,
aeric endoaquepts,35,Haplic Gleysols,aeric,endoaquepts,,Haplic Gleysols
aeric epiaquepts,35,,aeric,epiaquepts,,
Aquic Hapludalfs,35,Haplic Luvisols,Aquic,Hapludalfs,,Haplic Luvisols
cumulic haplaquolls,35,,cumulic,haplaquolls,,
fragic oxyaquic hapludalfs,35,Haplic Luvisols,,hapludalfs,,Haplic Luvisols
humic hapludults,35,Haplic Alisols / Haplic Acrisols,humic,hapludults,,Haplic Alisols / Haplic Acrisols
typic calciustolls,35,,typic,calciustolls,,
typic paleudolls,35,,typic,paleudolls,,
