"","corr_taxsubgrp","count"
"calcidic argiustolls","calcidic argiustolls",37
"mollic endoaquepts","mollic endoaquepts",37
"pachic argiudolls","pachic argiudolls",37
"sodic haplusterts","sodic haplusterts",37
"typic endoaquults","typic endoaquults",37
"typic pelluderts","typic pelluderts",37
"aeric endoaquepts","aeric endoaquepts",35
"aeric epiaquepts","aeric epiaquepts",35
"Aquic Hapludalfs","Aquic Hapludalfs",35
"cumulic haplaquolls","cumulic haplaquolls",35
"fragic oxyaquic hapludalfs","fragic oxyaquic hapludalfs",35
"humic hapludults","humic hapludults",35
"typic calciustolls","typic calciustolls",35
"typic paleudolls","typic paleudolls",35
"(Other)","(Other)",10510
