"","Number","ADM1_NAME","Value","ADM0_NAME","ADM0_NAME_filename","ADM1_NAME_filename","ADM0_NAME_Value"
"1015",1015,"Gudja",1015,"Malta","Malta","Malta__Gudja",158
"1016",1016,"Guelma",1016,"Algeria","Algeria","Algeria__Guelma",5
"1017",1017,"Guelmim - Es-Semara",1017,"Morocco","Morocco","Morocco__Guelmim_-_Es-Semara",172
"1018",1018,"Guera",1018,"Chad","Chad","Chad__Guera",52
"1019",1019,"Guerrero",1019,"Mexico","Mexico","Mexico__Guerrero",164
"1020",1020,"Guidimakha",1020,"Mauritania","Mauritania","Mauritania__Guidimakha",161
"1021",1021,"Guizhou Sheng",1021,"China","China","China__Guizhou_Sheng",54
"1022",1022,"Gujarat",1022,"India","India","India__Gujarat",118
"1023",1023,"Gulbenes",1023,"Latvia","Latvia","Latvia__Gulbenes",142
"1024",1024,"Gulf",1024,"Papua New Guinea","Papua_New_Guinea","Papua_New_Guinea__Gulf",195
"1025",1025,"Gullbringu",1025,"Iceland","Iceland","Iceland__Gullbringu",116
"1026",1026,"Gulu",1026,"Uganda","Uganda","Uganda__Gulu",259
"1027",1027,"Gumushane",1027,"Turkey","Turkey","Turkey__Gumushane",254
"1028",1028,"Gunma",1028,"Japan","Japan","Japan__Gunma",128
"1029",1029,"Guria",1029,"Georgia","Georgia","Georgia__Guria",93
"1030",1030,"Gyor-moson-sopron",1030,"Hungary","Hungary","Hungary__Gyor-moson-sopron",115
"1031",1031,"Gzira",1031,"Malta","Malta","Malta__Gzira",158
"1032",1032,"Ha Giang",1032,"Viet Nam","Viet_Nam","Viet_Nam__Ha_Giang",269
"1033",1033,"Ha Nam",1033,"Viet Nam","Viet_Nam","Viet_Nam__Ha_Nam",269
"1034",1034,"Ha Noi City",1034,"Viet Nam","Viet_Nam","Viet_Nam__Ha_Noi_City",269
"1035",1035,"Ha Tay",1035,"Viet Nam","Viet_Nam","Viet_Nam__Ha_Tay",269
"1036",1036,"Ha Tinh",1036,"Viet Nam","Viet_Nam","Viet_Nam__Ha_Tinh",269
"1037",1037,"Haa",1037,"Bhutan","Bhutan","Bhutan__Haa",32
"1038",1038,"Haa Alifu",1038,"Maldives","Maldives","Maldives__Haa_Alifu",156
"1039",1039,"Haa Dhaalu",1039,"Maldives","Maldives","Maldives__Haa_Dhaalu",156
"1040",1040,"Hadjer Lamis",1040,"Chad","Chad","Chad__Hadjer_Lamis",52
"1041",1041,"Hadramaut",1041,"Yemen","Yemen","Yemen__Hadramaut",274
"1042",1042,"Hai Duong",1042,"Viet Nam","Viet_Nam","Viet_Nam__Hai_Duong",269
"1043",1043,"Hai Phong City",1043,"Viet Nam","Viet_Nam","Viet_Nam__Hai_Phong_City",269
"1044",1044,"Haifa",1044,"Israel","Israel","Israel__Haifa",124
"1045",1045,"Hail",1045,"Saudi Arabia","Saudi_Arabia","Saudi_Arabia__Hail",218
"1046",1046,"Hainan Sheng",1046,"China","China","China__Hainan_Sheng",54
"1047",1047,"Hajdu-bihar",1047,"Hungary","Hungary","Hungary__Hajdu-bihar",115
"1048",1048,"Hajjah",1048,"Yemen","Yemen","Yemen__Hajjah",274
"1049",1049,"Hakkari",1049,"Turkey","Turkey","Turkey__Hakkari",254
