"","Acric Ferralsols","Acric Plinthosols","Albic Arenosols","Albic Luvisols","Alic Nitisols","Aluandic Andosols","Aric Regosols","Calcaric Regosols","Calcic Chernozems","Calcic Gleysols","Calcic Gypsisols","Calcic Histosols","Calcic Kastanozems","Calcic Luvisols","Calcic Solonetz","Calcic Vertisols","Cryic Histosols","Cutanic Alisols","Endogleyic Cambisols","Endogleyic Planosols","Ferralic Arenosols","Ferralic Cambisols","Fibric Histosols","Gleyic Luvisols","Gleyic Podzols","Gleyic Solonetz","Gypsic Solonchaks","Haplic Acrisols","Haplic Acrisols (Alumic)","Haplic Acrisols (Ferric)","Haplic Acrisols (Humic)","Haplic Albeluvisols","Haplic Alisols","Haplic Andosols","Haplic Arenosols","Haplic Arenosols (Calcaric)","Haplic Calcisols","Haplic Calcisols (Sodic)","Haplic Cambisols","Haplic Cambisols (Calcaric)","Haplic Cambisols (Chromic)","Haplic Cambisols (Dystric)","Haplic Cambisols (Eutric)","Haplic Cambisols (Humic)","Haplic Cambisols (Sodic)","Haplic Chernozems","Haplic Cryosols","Haplic Ferralsols","Haplic Ferralsols (Rhodic)","Haplic Ferralsols (Xanthic)","Haplic Fluvisols","Haplic Fluvisols (Arenic)","Haplic Fluvisols (Calcaric)","Haplic Fluvisols (Dystric)","Haplic Fluvisols (Eutric)","Haplic Gleysols","Haplic Gleysols (Dystric)","Haplic Gleysols (Eutric)","Haplic Gypsisols","Haplic Kastanozems","Haplic Leptosols","Haplic Leptosols (Eutric)","Haplic Lixisols","Haplic Lixisols (Chromic)","Haplic Lixisols (Ferric)","Haplic Luvisols","Haplic Luvisols (Chromic)","Haplic Luvisols (Ferric)","Haplic Nitisols (Rhodic)","Haplic Phaeozems","Haplic Planosols (Dystric)","Haplic Planosols (Eutric)","Haplic Podzols","Haplic Regosols (Dystric)","Haplic Regosols (Eutric)","Haplic Solonchaks","Haplic Solonchaks (Sodic)","Haplic Solonetz","Haplic Umbrisols","Haplic Vertisols","Haplic Vertisols (Eutric)","Hemic Histosols","Histic Albeluvisols","Hypoluvic Arenosols","Leptic Cambisols","Leptic Luvisols","Leptic Phaeozems","Leptic Regosols","Leptic Umbrisols","Lithic Leptosols","Lixic Plinthosols","Luvic Calcisols","Luvic Chernozems","Luvic Phaeozems","Luvic Planosols","Luvic Stagnosols","Mollic Gleysols","Mollic Leptosols","Mollic Solonetz","Mollic Vertisols","Petric Calcisols","Petric Durisols","Plinthic Acrisols","Protic Arenosols","Rendzic Leptosols","Sapric Histosols","Solodic Planosols","Stagnic Luvisols","Turbic Cryosols","Umbric Albeluvisols","Umbric Ferralsols","Umbric Gleysols","Vertic Cambisols","Vertic Luvisols","Vetic Acrisols","Vitric Andosols","Vitric Cryosols"
"Acric Ferralsols",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,188,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"Acric Plinthosols",1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,98,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Albic Arenosols",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albic Luvisols",0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,945,0,0,0,3,0,0,0,0,0,0,5,0,0,0,95,0,0,1,0,0,0,19,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,196,0,0,0,15,0,0,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Alic Nitisols",0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aluandic Andosols",1,0,0,2,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,24,0,0,0,0,3,27,2,0,1,0,72,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,24,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0
"Aric Regosols",0,0,0,1,0,0,31,1152,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,52,0,18,0,0,0,0,0,0,2,0,5,0,0,3,0,0,0,0,0,0,0,6,35,138,0,0,0,0,9,0,0,0,6,0,0,0,0,2,1,0,3,0,1,0,0,0,0,0,1,1,3,0,1,0,1,1,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcaric Regosols",0,0,0,0,0,0,1140,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcic Chernozems",0,0,0,0,0,0,0,0,112,0,0,0,0,3,0,9,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,9,0,10,0,33,0,0,0,0,0,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,25,5,0,0,0,0,17,0,0,0,24,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,2,9,17,0,1,1,1,0,1,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Calcic Gleysols",0,0,0,4,0,0,0,2,3,31,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,5,0,2,0,27,0,0,0,0,0,0,19,0,1,0,0,5,0,1,0,0,9,0,1,0,5,0,0,0,0,0,9,0,0,0,12,0,0,21,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,261,0,0,0,0,0
"Calcic Gypsisols",0,0,0,0,0,0,26,31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,15,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcic Histosols",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Calcic Kastanozems",0,0,0,0,0,0,4,3,23,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,25,0,25,1,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,216,9,0,0,0,0,34,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Calcic Luvisols",0,0,0,2,0,0,11,3,6,0,1,0,0,28,1,3,0,2,1,0,4,0,0,4,0,0,0,6,0,0,0,3,0,0,30,0,17,0,104,1,0,0,1,0,0,1,0,1,0,0,17,1,0,0,0,1,0,0,0,15,1,0,3,0,0,67,1,0,1,1,0,0,0,0,1,1,0,1,0,4,2,0,0,3,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Calcic Solonetz",0,0,0,0,0,0,10,2,2,0,0,0,0,2,9,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,30,0,6,0,0,0,0,0,12,0,0,4,0,0,5,0,1,0,0,0,0,0,1,16,1,0,3,0,0,12,0,0,0,0,0,0,0,0,1,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcic Vertisols",0,0,0,0,0,0,0,4,17,0,0,0,2,4,0,128,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,31,0,20,2,0,0,0,0,4,6,0,8,0,0,12,0,0,0,0,1,0,1,1,15,0,0,3,0,0,43,1,0,0,1,0,0,0,0,0,2,0,1,0,66,7,0,0,2,0,0,1,0,0,0,0,2,1,5,0,0,0,0,0,15,6,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0
"Cryic Histosols",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Cutanic Alisols",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endogleyic Cambisols",0,1,0,4,0,1,1,0,0,1,0,0,0,1,0,0,0,0,11,0,0,5,0,5,0,0,0,25,0,0,0,4,2,0,4,0,6,0,58,1,0,0,0,0,0,1,8,13,0,0,14,0,1,0,0,11,0,1,0,7,0,0,4,0,0,21,0,0,0,7,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,1,1,0,0,0
"Endogleyic Planosols",0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferralic Arenosols",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,389,0,0,1,0,0,0,88,0,0,0,0,4,0,28,0,3,0,0,0,0,0,0,0,9,0,0,243,0,0,24,6,0,0,0,1,0,0,0,0,3,0,21,0,0,18,2,0,0,0,0,1,0,0,2,0,0,3,0,4,0,0,0,14,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,45,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
"Ferralic Cambisols",6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,42,0,0,0,0,0,79,0,0,0,0,1,0,1,0,2,0,10,0,0,0,0,0,2,0,0,84,0,0,3,0,0,1,0,0,0,0,0,0,4,1,22,2,0,4,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0
"Fibric Histosols",0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,147,20,10,0,0,39,0,0,0,4,0,0,2,0,0,0,30,0,0,0,0,0,0,1,5,20,0,0,10,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,16,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,1,0,0,0,0,0
"Gleyic Luvisols",0,0,0,1009,0,0,0,0,1,7,0,0,0,1,0,0,1,0,1,0,3,0,0,149,0,0,0,28,0,1,0,14,1,0,12,0,0,0,136,0,0,1,0,0,0,12,0,3,0,0,31,0,1,0,0,10,0,0,0,4,0,0,10,0,0,147,0,0,0,21,0,1,17,0,0,0,0,1,0,12,0,1,0,3,0,2,1,0,0,0,0,0,2,30,0,0,1,0,0,0,0,0,0,2,1,1,0,6,0,0,0,0,1,0,0,0,0
"Gleyic Podzols",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,0,0,40,0,0,0,7,1,0,0,0,0,0,24,0,0,0,0,0,0,0,3,15,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Gleyic Solonetz",0,0,0,3,0,0,0,0,3,1,0,0,2,0,0,2,0,0,0,0,1,0,0,4,0,11,0,9,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,16,0,5,0,0,9,0,2,0,0,0,0,0,1,25,0,0,1,0,0,9,0,0,0,9,0,2,0,0,0,1,0,45,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,98,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Gypsic Solonchaks",0,0,0,0,0,0,15,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Acrisols",3,4,0,0,1,5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,1,0,0,0,0,1480,69,149,75,0,36,0,6,0,0,0,64,0,0,2,0,3,0,0,0,443,0,0,11,0,0,2,0,2,0,0,0,1,3,0,39,3,0,107,1,0,2,0,0,2,1,0,1,0,0,0,0,7,0,0,0,18,0,2,4,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,25,1,1,0,4,0,0,0,7,0,0,0,1,0,0
"Haplic Acrisols (Alumic)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Acrisols (Ferric)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,270,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Haplic Acrisols (Humic)",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Albeluvisols",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,2,0,0,0,121,2,0,0,0,0,0,65,1,0,0,0,0,0,6,4,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,37,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"Haplic Alisols",0,2,0,0,0,4,1,0,4,0,0,0,0,1,0,0,0,2,0,0,5,0,0,3,0,0,0,230,0,0,0,0,131,0,2,0,0,0,144,0,0,2,0,0,0,0,0,131,0,0,14,0,0,0,0,4,0,0,0,1,1,0,8,1,0,106,0,0,1,0,1,1,2,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,2,0,0,0
"Haplic Andosols",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Haplic Arenosols",0,3,4,1,0,1,8,13,3,0,0,0,1,3,0,0,0,0,1,0,66,0,3,4,6,0,1,49,0,0,0,2,4,0,315,40,23,0,86,1,0,0,0,0,9,12,3,22,0,0,25,4,0,0,0,9,0,0,2,22,4,0,16,0,0,52,0,0,0,14,0,0,8,0,5,2,1,0,0,18,0,0,0,28,0,1,1,4,0,2,0,1,1,3,0,0,0,0,0,3,15,0,0,4,2,0,1,1,0,1,0,0,0,0,0,1,0
"Haplic Arenosols (Calcaric)",0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,76,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Calcisols",0,0,0,0,0,0,123,126,20,0,0,0,2,1,0,4,0,1,0,0,49,0,0,2,0,0,0,2,0,0,0,0,0,0,7,0,828,88,89,10,0,0,0,0,4,3,0,0,0,0,63,4,3,0,0,0,0,1,19,64,25,0,0,0,0,50,0,0,0,4,0,0,0,1,1,3,1,1,0,20,0,0,0,1,0,1,3,3,0,2,0,6,2,0,0,0,1,0,0,2,100,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"Haplic Calcisols (Sodic)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Cambisols",2,0,1,88,3,8,7,15,20,6,0,0,3,0,0,3,33,0,0,0,12,3,0,90,3,0,1,156,0,0,0,6,6,0,14,0,109,0,1683,783,128,865,501,157,115,26,104,191,0,0,40,2,0,0,0,10,0,2,2,52,11,1,4,1,0,103,0,0,1,24,0,1,90,0,5,1,0,5,2,12,0,7,0,2,5,3,6,2,0,3,0,1,3,9,0,3,2,0,0,2,28,0,0,0,5,0,1,2,9,0,2,5,5,0,0,3,0
"Haplic Cambisols (Calcaric)",0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,105,0,1006,9,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,1,11,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Cambisols (Chromic)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,219,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Cambisols (Dystric)",0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,5,0,0,0,0,0,1199,0,0,4,0,0,0,3,11,10,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,13,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"Haplic Cambisols (Eutric)",0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,1,0,0,0,0,5,0,729,0,0,0,0,0,0,7,9,10,0,0,3,0,0,0,0,1,0,1,0,19,3,0,1,0,0,29,0,0,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Haplic Cambisols (Humic)",0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,240,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Haplic Cambisols (Sodic)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,110,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Chernozems",0,0,0,15,0,0,2,1,16,1,0,0,3,0,0,3,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,4,0,0,5,0,5,0,54,1,0,3,0,0,0,906,4,0,0,0,4,0,1,0,0,1,0,0,0,108,4,0,0,0,0,50,0,0,0,76,0,0,4,0,1,0,0,1,0,14,0,0,0,0,0,0,2,0,0,1,0,1,9,44,0,0,2,0,2,1,5,0,0,0,2,1,0,3,0,0,0,5,0,0,0,0,0
"Haplic Cryosols",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87,0,0,1,0,0,0,1,724,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,1,0
"Haplic Ferralsols",25,10,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,11,12,0,0,0,0,0,324,0,0,0,0,6,0,1,0,1,0,5,0,0,0,0,0,0,0,1,1306,46,25,10,0,0,1,0,3,0,0,0,3,1,0,23,9,0,8,2,0,4,0,0,0,3,0,0,0,0,0,0,7,1,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,13,0,1,0,0,0,0
"Haplic Ferralsols (Rhodic)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Haplic Ferralsols (Xanthic)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Haplic Fluvisols",1,0,0,0,0,1,13,13,1,1,1,0,0,1,0,5,0,0,1,0,45,1,6,3,0,0,0,41,0,0,0,0,1,0,4,0,30,0,98,4,0,0,0,0,0,7,2,63,0,0,206,142,559,36,301,19,1,0,11,24,5,0,3,2,0,47,0,0,0,12,0,1,4,0,1,4,1,1,0,33,1,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
