"","Acric Ferralsols","Acric Plinthosols","Albic Arenosols","Albic Luvisols","Alic Nitisols","Aluandic Andosols","Aric Regosols","Calcaric Regosols","Calcic Chernozems","Calcic Gleysols","Calcic Gypsisols","Calcic Histosols","Calcic Kastanozems","Calcic Luvisols","Calcic Solonetz","Calcic Vertisols","Cryic Histosols","Cutanic Alisols","Endogleyic Cambisols","Endogleyic Planosols","Ferralic Arenosols","Ferralic Cambisols","Fibric Histosols","Gleyic Luvisols","Gleyic Podzols","Gleyic Solonetz","Gypsic Solonchaks","Haplic Acrisols","Haplic Acrisols (Alumic)","Haplic Acrisols (Ferric)","Haplic Acrisols (Humic)","Haplic Albeluvisols","Haplic Alisols","Haplic Andosols","Haplic Arenosols","Haplic Arenosols (Calcaric)","Haplic Calcisols","Haplic Calcisols (Sodic)","Haplic Cambisols","Haplic Cambisols (Calcaric)","Haplic Cambisols (Chromic)","Haplic Cambisols (Dystric)","Haplic Cambisols (Eutric)","Haplic Cambisols (Humic)","Haplic Cambisols (Sodic)","Haplic Chernozems","Haplic Cryosols","Haplic Ferralsols","Haplic Ferralsols (Rhodic)","Haplic Ferralsols (Xanthic)","Haplic Fluvisols","Haplic Fluvisols (Arenic)","Haplic Fluvisols (Calcaric)","Haplic Fluvisols (Dystric)","Haplic Fluvisols (Eutric)","Haplic Gleysols","Haplic Gleysols (Dystric)","Haplic Gleysols (Eutric)","Haplic Gypsisols","Haplic Kastanozems","Haplic Leptosols","Haplic Leptosols (Eutric)","Haplic Lixisols","Haplic Lixisols (Chromic)","Haplic Lixisols (Ferric)","Haplic Luvisols","Haplic Luvisols (Chromic)","Haplic Luvisols (Ferric)","Haplic Nitisols (Rhodic)","Haplic Phaeozems","Haplic Planosols (Dystric)","Haplic Planosols (Eutric)","Haplic Podzols","Haplic Regosols (Dystric)","Haplic Regosols (Eutric)","Haplic Solonchaks","Haplic Solonchaks (Sodic)","Haplic Solonetz","Haplic Umbrisols","Haplic Vertisols","Haplic Vertisols (Eutric)","Hemic Histosols","Histic Albeluvisols","Hypoluvic Arenosols","Leptic Cambisols","Leptic Luvisols","Leptic Phaeozems","Leptic Regosols","Leptic Umbrisols","Lithic Leptosols","Lixic Plinthosols","Luvic Calcisols","Luvic Chernozems","Luvic Phaeozems","Luvic Planosols","Luvic Stagnosols","Mollic Gleysols","Mollic Leptosols","Mollic Solonetz","Mollic Vertisols","Petric Calcisols","Petric Durisols","Plinthic Acrisols","Protic Arenosols","Rendzic Leptosols","Sapric Histosols","Solodic Planosols","Stagnic Luvisols","Turbic Cryosols","Umbric Albeluvisols","Umbric Ferralsols","Umbric Gleysols","Vertic Cambisols","Vertic Luvisols","Vetic Acrisols","Vitric Andosols","Vitric Cryosols"
"Haplic Regosols (Eutric)",0,0,1,22,0,3,15,5,2,2,0,0,2,0,0,1,2,0,0,0,4,2,1,16,0,0,0,17,0,1,0,2,1,0,13,0,24,0,191,0,0,6,0,0,0,41,13,9,0,0,12,0,2,0,0,3,0,0,1,51,10,0,5,2,0,53,1,0,0,10,0,0,12,0,23,2,0,4,0,8,1,0,0,0,0,1,1,7,0,3,0,2,0,9,0,0,1,0,0,5,45,0,0,1,0,0,1,0,0,0,0,1,0,1,0,3,0
"Haplic Solonchaks",0,0,0,1,0,1,31,24,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,7,0,22,0,7,0,0,0,0,0,1,2,0,4,0,0,23,0,5,0,0,1,0,1,35,7,6,0,0,0,0,4,0,0,0,5,0,0,0,0,1,56,103,5,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
"Haplic Solonchaks (Sodic)",0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Solonetz",0,0,0,2,0,0,7,3,1,0,0,0,5,1,5,0,0,0,0,0,4,0,0,7,0,89,0,4,0,0,0,0,0,0,4,0,41,0,18,1,0,0,0,0,4,22,0,3,0,0,11,0,0,0,0,1,0,0,6,53,0,0,6,1,0,26,0,0,0,6,0,2,0,0,1,5,0,37,0,9,1,0,0,1,0,0,0,0,0,0,0,3,4,6,0,0,0,0,56,0,1,0,0,0,0,0,81,0,0,0,0,0,1,0,0,0,0
"Haplic Umbrisols",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Vertisols",0,0,0,0,0,0,6,4,3,0,0,0,2,0,1,34,0,0,0,0,1,0,0,2,0,0,0,21,0,0,0,0,0,0,6,0,16,0,42,3,0,0,0,0,0,1,3,12,0,0,20,0,1,0,0,2,0,0,1,25,4,0,8,0,0,43,0,0,0,7,0,1,1,0,1,3,1,0,0,274,400,0,0,1,0,4,20,3,0,25,0,4,0,6,0,0,0,0,0,13,7,0,0,0,3,0,0,1,0,1,0,0,1,2,0,0,0
"Haplic Vertisols (Eutric)",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,17,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,2,0,8,0,0,5,0,2,0,0,0,0,0,0,19,0,0,4,0,0,9,0,0,0,3,0,0,0,0,0,0,0,1,0,459,10,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Hemic Histosols",0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,1,21,37,0,0,0,6,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,23,0,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
"Histic Albeluvisols",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"Hypoluvic Arenosols",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,12,0,0,0,0,0,0,44,0,2,0,1,0,0,0,0,0,0,0,0,19,0,0,1,1,0,0,0,0,0,1,0,0,5,0,15,0,1,13,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
