Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
MCU Sierpe7,M0753,0,0.15,0.075,0.57,0.65,0.67,0.57,,5.34,0.2,5.34,,,0.03,Y,2012,,,,,,,,,,,,,,,,
MCU Sierpe7,M0753,0.15,0.3,0.225,0.42,0.56,0.58,0.42,,7.34,0.22,7.34,,,0.031,Y,2012,,,,,,,,,,,,,,,,
MCU Sierpe7,M0753,0.3,0.5,0.4,0.45,0.57,0.59,0.45,,7.25,0.2,7.25,,,0.033,Y,2012,,,,,,,,,,,,,,,,
MCU Sierpe7,M0753,0.5,1,0.75,0.53,0.64,0.65,0.53,,5.68,0.17,5.68,,,0.03,Y,2012,,,,,,,,,,,,,,,,
MCU Sierpe8,M0754,0,0.15,0.075,0.49,0.58,0.6,0.49,,6.83,0.23,6.83,,,0.033,Y,2012,,,,,,,,,,,,,,,,
MCU Sierpe8,M0754,0.15,0.3,0.225,0.39,0.48,0.5,0.39,,9.79,0.28,9.79,,,0.038,Y,2012,,,,,,,,,,,,,,,,
MCU Sierpe8,M0754,0.3,0.5,0.4,0.41,0.53,0.55,0.41,,8.28,0.23,8.28,,,0.034,Y,2012,,,,,,,,,,,,,,,,
MCU Sierpe8,M0754,0.5,1,0.75,0.47,0.66,0.67,0.47,,5.25,0.17,5.25,,,0.025,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal9,M0755,0,0.15,0.075,0.29,0.3,0.3,0.29,,18.25,0.65,18.25,,,0.053,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal9,M0755,0.15,0.3,0.225,0.21,0.27,0.27,0.21,,20.46,0.74,20.46,,,0.043,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal9,M0755,0.3,0.5,0.4,0.3,0.3,0.3,0.3,,18.13,0.63,18.13,,,0.054,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal9,M0755,0.5,1,0.75,0.43,0.46,0.47,0.43,,10.6,0.35,10.6,,,0.046,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal10,M0756,0,0.15,0.075,0.4,0.61,0.63,0.4,,6.28,0.28,6.28,,,0.025,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal10,M0756,0.15,0.3,0.225,0.45,0.61,0.63,0.45,,6.18,0.27,6.18,,,0.028,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal10,M0756,0.3,0.5,0.4,0.52,0.61,0.63,0.52,,6.23,0.27,6.23,,,0.032,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal10,M0756,0.5,1,0.75,0.48,0.6,0.62,0.48,,6.4,0.27,6.4,,,0.031,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal11,M0757,0,0.15,0.075,0.33,0.42,0.43,0.33,,12.09,0.47,12.09,,,0.04,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal11,M0757,0.15,0.3,0.225,0.27,0.29,0.29,0.27,,18.85,0.66,18.85,,,0.051,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal11,M0757,0.3,0.5,0.4,0.23,0.26,0.26,0.23,,21.18,0.69,21.18,,,0.049,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal11,M0757,0.5,1,0.75,0.21,0.28,0.28,0.21,,19.48,0.58,19.48,,,0.041,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal12,M0758,0,0.15,0.075,0.53,0.65,0.66,0.53,,5.44,0.24,5.44,,,0.029,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal12,M0758,0.15,0.3,0.225,0.46,0.59,0.61,0.46,,6.6,0.25,6.6,,,0.03,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal12,M0758,0.3,0.5,0.4,0.46,0.55,0.57,0.46,,7.65,0.24,7.65,,,0.035,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal12,M0758,0.5,1,0.75,0.46,0.52,0.54,0.46,,8.55,0.23,8.55,,,0.039,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal13,M0759,0,0.15,0.075,0.59,0.71,0.72,0.59,,4.3,0.2,4.3,,,0.025,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal13,M0759,0.15,0.3,0.225,0.63,0.68,0.69,0.63,,4.93,0.19,4.93,,,0.031,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal13,M0759,0.3,0.5,0.4,0.53,0.68,0.69,0.53,,4.91,0.2,4.91,,,0.026,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal13,M0759,0.5,1,0.75,0.68,0.74,0.74,0.68,,3.97,0.16,3.97,,,0.027,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal14,M0760,0,0.15,0.075,0.51,0.56,0.57,0.51,,7.54,0.29,7.54,,,0.038,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal14,M0760,0.15,0.3,0.225,0.49,0.53,0.55,0.49,,8.17,0.29,8.17,,,0.04,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal14,M0760,0.3,0.5,0.4,0.53,0.52,0.53,0.53,,8.71,0.3,8.71,,,0.046,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal14,M0760,0.5,1,0.75,0.51,0.55,0.57,0.51,,7.67,0.26,7.67,,,0.039,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal15,M0761,0,0.15,0.075,0.65,0.7,0.71,0.65,,4.53,0.2,4.53,,,0.029,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal15,M0761,0.15,0.3,0.225,0.58,0.68,0.69,0.58,,4.88,0.19,4.88,,,0.028,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal15,M0761,0.3,0.5,0.4,0.56,0.67,0.69,0.56,,4.96,0.2,4.96,,,0.028,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal15,M0761,0.5,1,0.75,0.53,0.66,0.67,0.53,,5.2,0.18,5.2,,,0.028,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal16,M0762,0,0.15,0.075,0.69,0.75,0.75,0.69,,3.8,0.19,3.8,,,0.026,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal16,M0762,0.15,0.3,0.225,0.58,0.7,0.71,0.58,,4.46,0.2,4.46,,,0.026,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal16,M0762,0.3,0.5,0.4,0.57,0.7,0.71,0.57,,4.52,0.19,4.52,,,0.026,Y,2012,,,,,,,,,,,,,,,,
MCU Guarumal16,M0762,0.5,1,0.75,0.6,0.7,0.71,0.6,,4.52,0.19,4.52,,,0.027,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate17,M0763,0,0.15,0.075,0.36,0.51,0.53,0.36,,8.76,0.32,8.76,,,0.032,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate17,M0763,0.15,0.3,0.225,0.33,0.38,0.39,0.33,,13.86,0.42,13.86,,,0.046,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate17,M0763,0.3,0.5,0.4,0.21,0.38,0.38,0.21,,14.1,0.44,14.1,,,0.03,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate17,M0763,0.5,1,0.75,0.21,0.34,0.34,0.21,,15.93,0.42,15.93,,,0.033,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate18,M0764,0,0.15,0.075,0.34,0.39,0.39,0.34,,13.58,0.51,13.58,,,0.046,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate18,M0764,0.15,0.3,0.225,0.4,0.39,0.39,0.4,,13.53,0.46,13.53,,,0.054,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate18,M0764,0.3,0.5,0.4,0.52,0.45,0.46,0.52,,10.83,0.33,10.83,,,0.056,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate18,M0764,0.5,1,0.75,0.33,0.42,0.43,0.33,,12.17,0.33,12.17,,,0.04,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate19,M0765,0,0.15,0.075,0.46,0.52,0.54,0.46,,8.56,0.28,8.56,,,0.039,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate19,M0765,0.15,0.3,0.225,0.27,0.39,0.39,0.27,,13.46,0.35,13.46,,,0.036,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate19,M0765,0.3,0.5,0.4,0.36,0.4,0.4,0.36,,13.17,0.34,13.17,,,0.047,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate19,M0765,0.5,1,0.75,0.33,0.51,0.52,0.33,,9.01,0.23,9.01,,,0.03,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate20,M0766,0,0.15,0.075,0.35,0.38,0.39,0.35,,13.82,0.41,13.82,,,0.048,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate20,M0766,0.15,0.3,0.225,0.27,0.34,0.34,0.27,,16.06,0.42,16.06,,,0.043,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate20,M0766,0.3,0.5,0.4,0.26,0.36,0.36,0.26,,15.11,0.39,15.11,,,0.039,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate20,M0766,0.5,1,0.75,0.26,0.35,0.35,0.26,,15.31,0.36,15.31,,,0.04,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate21,M0767,0,0.15,0.075,0.51,0.68,0.69,0.51,,4.86,0.25,4.86,,,0.025,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate21,M0767,0.15,0.3,0.225,0.48,0.55,0.57,0.48,,7.69,0.3,7.69,,,0.037,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate21,M0767,0.3,0.5,0.4,0.44,0.55,0.57,0.44,,7.64,0.28,7.64,,,0.034,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate21,M0767,0.5,1,0.75,0.42,0.58,0.6,0.42,,6.98,0.24,6.98,,,0.029,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate22,M0768,0,0.15,0.075,0.4,0.63,0.65,0.4,,5.78,0.27,5.78,,,0.023,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate22,M0768,0.15,0.3,0.225,0.47,0.62,0.63,0.47,,6.08,0.23,6.08,,,0.029,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate22,M0768,0.3,0.5,0.4,0.43,0.51,0.53,0.43,,8.92,0.26,8.92,,,0.038,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate22,M0768,0.5,1,0.75,0.44,0.56,0.58,0.44,,7.41,0.21,7.41,,,0.033,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate23,M0769,0,0.15,0.075,0.56,0.71,0.72,0.56,,4.36,0.2,4.36,,,0.024,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate23,M0769,0.15,0.3,0.225,0.47,0.67,0.68,0.47,,5.1,0.2,5.1,,,0.024,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate23,M0769,0.3,0.5,0.4,0.51,0.61,0.63,0.51,,6.19,0.21,6.19,,,0.032,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate23,M0769,0.5,1,0.75,0.31,0.33,0.33,0.31,,16.64,0.49,16.64,,,0.052,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate24,M0770,0,0.15,0.075,0.45,0.66,0.68,0.45,,5.14,0.23,5.14,,,0.023,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate24,M0770,0.15,0.3,0.225,0.52,0.64,0.66,0.52,,5.61,0.23,5.61,,,0.029,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate24,M0770,0.3,0.5,0.4,0.36,0.43,0.44,0.36,,11.87,0.32,11.87,,,0.043,Y,2012,,,,,,,,,,,,,,,,
MCU Zacate24,M0770,0.5,1,0.75,0.22,0.35,0.35,0.22,,15.66,0.36,15.66,,,0.034,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba25,M0771,0,0.15,0.075,0.52,0.59,0.61,0.52,,6.68,0.3,6.68,,,0.035,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba25,M0771,0.15,0.3,0.225,0.45,0.52,0.53,0.45,,8.66,0.33,8.66,,,0.039,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba25,M0771,0.3,0.5,0.4,0.44,0.49,0.5,0.44,,9.54,0.33,9.54,,,0.042,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba25,M0771,0.5,1,0.75,0.47,0.53,0.55,0.47,,8.32,0.29,8.32,,,0.039,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba26,M0772,0,0.15,0.075,0.69,0.86,0.85,0.69,,2.55,0.15,2.55,,,0.018,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba26,M0772,0.15,0.3,0.225,0.67,0.85,0.84,0.67,,2.64,0.16,2.64,,,0.018,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba26,M0772,0.3,0.5,0.4,0.67,0.84,0.83,0.67,,2.77,0.16,2.77,,,0.019,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba26,M0772,0.5,1,0.75,0.62,0.79,0.79,0.62,,3.24,0.17,3.24,,,0.02,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba27,M0773,0,0.15,0.075,0.7,0.76,0.76,0.7,,3.6,0.17,3.6,,,0.025,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba27,M0773,0.15,0.3,0.225,0.54,0.69,0.7,0.54,,4.73,0.2,4.73,,,0.026,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba27,M0773,0.3,0.5,0.4,0.46,0.6,0.62,0.46,,6.4,0.25,6.4,,,0.029,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba27,M0773,0.5,1,0.75,0.44,0.55,0.56,0.44,,7.82,0.27,7.82,,,0.034,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba28,M0774,0,0.15,0.075,0.68,0.82,0.81,0.68,,2.99,0.17,2.99,,,0.02,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba28,M0774,0.15,0.3,0.225,0.71,0.8,0.8,0.71,,3.14,0.16,3.14,,,0.022,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba28,M0774,0.3,0.5,0.4,0.54,0.76,0.76,0.54,,3.6,0.2,3.6,,,0.019,Y,2012,,,,,,,,,,,,,,,,
MCU Térraba28,M0774,0.5,1,0.75,0.61,0.74,0.74,0.61,,3.96,0.19,3.96,,,0.024,Y,2012,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0775,0,0.15,0.075,0.28,0.44,0.46,0.28,,11.14,0.47,11.14,,,0.031,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0775,0.15,0.3,0.225,0.29,0.36,0.36,0.29,,14.99,0.52,14.99,,,0.043,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0775,0.3,0.5,0.4,0.33,0.39,0.4,0.33,,13.42,0.42,13.42,,,0.044,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0775,0.5,1,0.75,0.35,0.44,0.45,0.35,,11.29,0.35,11.29,,,0.04,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0775,1,2,1.5,0.37,0.52,0.54,0.37,,8.47,0.25,8.47,,,0.031,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0776,0,0.15,0.075,0.63,0.84,0.83,0.63,,2.77,0.15,2.77,,,0.017,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0776,0.15,0.3,0.225,0.73,0.87,0.86,0.73,,2.46,0.11,2.46,,,0.018,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0776,0.3,0.5,0.4,0.76,0.91,0.9,0.76,,2.1,0.09,2.1,,,0.016,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0776,0.5,1,0.75,0.64,0.84,0.83,0.64,,2.77,0.11,2.77,,,0.018,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0776,1,2,1.5,0.76,0.92,0.91,0.76,,2.03,0.08,2.03,,,0.015,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0777,0,0.15,0.075,0.42,0.66,0.68,0.68,,5.16,0.27,5.16,,,0.035,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0777,0.15,0.3,0.225,0.38,0.66,0.67,0.67,,5.24,0.25,5.24,,,0.035,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0777,0.3,0.5,0.4,0.41,0.72,0.72,0.72,,4.24,0.21,4.24,,,0.031,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0777,0.5,1,0.75,0.45,0.71,0.72,0.72,,4.31,0.2,4.31,,,0.031,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0777,1,2,1.5,0.41,0.73,0.74,0.74,,4.02,0.19,4.02,,,0.03,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0778,0,0.15,0.075,0.6,0.83,0.82,0.6,,2.81,0.2,2.81,,,0.017,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0778,0.15,0.3,0.225,0.59,0.85,0.84,0.59,,2.61,0.19,2.61,,,0.015,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0778,0.3,0.5,0.4,0.55,0.87,0.86,0.86,,2.45,0.18,2.45,,,0.021,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0778,0.5,1,0.75,0.54,0.86,0.85,0.85,,2.57,0.17,2.57,,,0.022,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0778,1,2,1.5,0.52,0.83,0.82,0.82,,2.8,0.17,2.8,,,0.023,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0779,0,0.15,0.075,0.38,0.49,0.5,0.38,,9.52,0.38,9.52,,,0.036,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0779,0.15,0.3,0.225,0.36,0.51,0.53,0.36,,8.74,0.34,8.74,,,0.031,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0779,0.3,0.5,0.4,0.37,0.57,0.59,0.37,,7.2,0.28,7.2,,,0.027,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0779,0.5,1,0.75,0.39,0.56,0.58,0.39,,7.49,0.27,7.49,,,0.029,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0779,1,2,1.5,0.39,0.61,0.63,0.39,,6.28,0.23,6.28,,,0.024,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0780,0,0.15,0.075,0.61,0.69,0.7,0.61,,4.7,0.25,4.7,,,0.029,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0780,0.15,0.3,0.225,0.67,0.66,0.68,0.67,,5.18,0.24,5.18,,,0.035,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0780,0.3,0.5,0.4,0.62,0.66,0.67,0.62,,5.27,0.24,5.27,,,0.033,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0780,0.5,1,0.75,0.6,0.58,0.6,0.6,,6.89,0.27,6.89,,,0.041,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0780,1,2,1.5,0.43,0.47,0.48,0.43,,10.27,0.32,10.27,,,0.044,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0781,0,0.15,0.075,0.89,0.85,0.84,0.89,,2.59,0.14,2.59,,,0.023,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0781,0.15,0.3,0.225,0.95,0.83,0.82,0.95,,2.85,0.16,2.85,,,0.027,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0781,0.3,0.5,0.4,0.92,0.81,0.8,0.92,,3.03,0.15,3.03,,,0.028,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0781,0.5,1,0.75,0.94,0.74,0.74,0.94,,3.99,0.18,3.99,,,0.038,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0781,1,2,1.5,0.92,0.76,0.76,0.92,,3.6,0.15,3.6,,,0.033,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0782,0,0.15,0.075,0.44,0.57,0.59,0.44,,7.18,0.33,7.18,,,0.032,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0782,0.15,0.3,0.225,0.43,0.59,0.6,0.43,,6.81,0.29,6.81,,,0.029,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0782,0.3,0.5,0.4,0.46,0.61,0.63,0.46,,6.23,0.26,6.23,,,0.029,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0782,0.5,1,0.75,0.46,0.62,0.64,0.46,,5.94,0.24,5.94,,,0.027,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0782,1,2,1.5,0.55,0.67,0.68,0.55,,5.06,0.2,5.06,,,0.028,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0783,0,0.15,0.075,0.57,0.78,0.77,0.57,,3.45,0.23,3.45,,,0.02,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0783,0.15,0.3,0.225,0.51,0.7,0.71,0.51,,4.5,0.24,4.5,,,0.023,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0783,0.3,0.5,0.4,0.57,0.75,0.75,0.57,,3.79,0.22,3.79,,,0.022,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0783,0.5,1,0.75,0.61,0.77,0.77,0.61,,3.5,0.2,3.5,,,0.021,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0783,1,2,1.5,0.55,0.75,0.75,0.55,,3.85,0.21,3.85,,,0.021,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0784,0,0.15,0.075,0.6,0.46,0.48,0.6,,10.44,0.42,10.44,,,0.063,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0784,0.15,0.3,0.225,0.57,0.5,0.51,0.57,,9.33,0.36,9.33,,,0.053,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0784,0.3,0.5,0.4,0.55,0.57,0.59,0.55,,7.17,0.27,7.17,,,0.039,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0784,0.5,1,0.75,0.55,0.58,0.6,0.55,,6.93,0.27,6.93,,,0.038,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0784,1,2,1.5,0.6,0.62,0.64,0.6,,6.02,0.23,6.02,,,0.036,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0785,0,0.15,0.075,0.57,0.66,0.67,0.57,,5.25,0.28,5.25,,,0.03,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0785,0.15,0.3,0.225,0.55,0.65,0.66,0.55,,5.44,0.26,5.44,,,0.03,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0785,0.3,0.5,0.4,0.58,0.68,0.69,0.58,,4.87,0.21,4.87,,,0.028,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0785,0.5,1,0.75,0.59,0.67,0.68,0.59,,5.05,0.22,5.05,,,0.03,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0785,1,2,1.5,0.64,0.73,0.74,0.64,,4.01,0.2,4.01,,,0.026,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0786,0,0.15,0.075,0.47,0.55,0.57,0.47,,7.76,0.33,7.76,,,0.036,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0786,0.15,0.3,0.225,0.43,0.47,0.48,0.43,,10.31,0.37,10.31,,,0.044,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0786,0.3,0.5,0.4,0.4,0.46,0.47,0.4,,10.48,0.29,10.48,,,0.042,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0786,0.5,1,0.75,0.42,0.46,0.47,0.42,,10.48,0.25,10.48,,,0.044,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0786,1,2,1.5,0.32,0.39,0.39,0.32,,13.47,0.29,13.47,,,0.043,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0787,0,0.15,0.075,0.28,0.27,0.27,0.28,,20.08,0.76,20.08,,,0.056,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0787,0.15,0.3,0.225,0.31,0.34,0.34,0.31,,16.01,0.6,16.01,,,0.05,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0787,0.3,0.5,0.4,0.37,0.42,0.42,0.37,,12.28,0.44,12.28,,,0.045,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0787,0.5,1,0.75,0.46,0.43,0.44,0.46,,11.57,0.37,11.57,,,0.053,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0787,1,2,1.5,0.49,0.54,0.55,0.49,,8.09,0.24,8.09,,,0.04,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0788,0,0.15,0.075,0.76,0.61,0.63,0.76,,6.22,0.27,6.22,,,0.047,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0788,0.15,0.3,0.225,0.65,0.62,0.64,0.65,,6.04,0.24,6.04,,,0.039,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0788,0.3,0.5,0.4,0.64,0.61,0.63,0.64,,6.29,0.24,6.29,,,0.04,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0788,0.5,1,0.75,0.66,0.63,0.64,0.66,,5.89,0.22,5.89,,,0.039,Y,2014,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0788,1,2,1.5,0.6,0.59,0.61,0.6,,6.67,0.23,6.67,,,0.04,Y,2014,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0789,0,0.15,0.075,0.46,0.64,0.65,0.46,,5.69,0.27,5.69,,,0.026,Y,2013,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0789,0.15,0.3,0.225,0.48,0.67,0.68,0.48,,5.05,0.24,5.05,,,0.024,Y,2013,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0789,0.3,0.5,0.4,0.47,0.66,0.68,0.47,,5.14,0.23,5.14,,,0.024,Y,2013,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0789,0.5,1,0.75,0.47,0.67,0.68,0.47,,5.07,0.24,5.07,,,0.024,Y,2013,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0789,1,2,1.5,0.49,0.66,0.67,0.49,,5.23,0.23,5.23,,,0.026,Y,2013,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0790,0,0.15,0.075,0.32,0.47,0.48,0.32,,10.31,0.32,10.31,,,0.033,Y,2013,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0790,0.15,0.3,0.225,0.32,0.49,0.51,0.32,,9.5,0.31,9.5,,,0.03,Y,2013,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0790,0.3,0.5,0.4,0.34,0.56,0.58,0.34,,7.45,0.25,7.45,,,0.025,Y,2013,,,,,,,,,,,,,,,,
