Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
RC99 S1,M0018,0.06,0.08,0.07,0.33,0.14,0.16,0.33,63.34,,0.7,31.67,,,0.106,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.08,0.1,0.09,0.37,0.12,0.16,0.37,66.15,,0.7,33.08,,,0.121,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.1,0.12,0.11,0.44,0.12,0.15,0.15,66.93,,0.7,33.47,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.12,0.14,0.13,0.51,0.09,0.14,0.14,74.5,,0.7,37.25,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.14,0.16,0.15,0.55,0.08,0.14,0.14,75.68,,0.7,37.84,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.16,0.18,0.17,0.62,0.05,0.12,0.12,84.17,,0.7,42.09,,,0.052,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.18,0.2,0.19,0.53,0.09,0.14,0.14,73.71,,0.7,36.85,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.2,0.22,0.21,0.47,0.09,0.14,0.14,73.07,,0.7,36.53,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.22,0.24,0.23,0.49,0.11,0.15,0.15,68.31,,0.7,34.15,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.24,0.26,0.25,0.47,0.11,0.15,0.15,69.25,,0.7,34.62,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.26,0.28,0.27,0.43,0.11,0.15,0.15,69.63,,0.7,34.82,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.28,0.3,0.29,0.48,0.11,0.15,0.15,68.1,,0.7,34.05,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.3,0.32,0.31,0.52,0.1,0.15,0.15,70.22,,0.7,35.11,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.32,0.34,0.33,0.4,0.1,0.15,0.15,70.58,,0.7,35.29,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.34,0.36,0.35,0.46,0.09,0.14,0.14,73.37,,0.7,36.69,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.36,0.38,0.37,0.46,0.1,0.14,0.14,72.43,,0.7,36.21,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.38,0.4,0.39,0.54,0.09,0.14,0.14,74.81,,0.7,37.41,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.4,0.42,0.41,0.44,0.1,0.14,0.14,72.12,,,36.06,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.42,0.44,0.43,0.4,0.11,0.15,0.15,69.43,,,34.71,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.44,0.46,0.45,0.47,0.09,0.14,0.14,72.77,,,36.38,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.46,0.48,0.47,0.42,0.09,0.14,0.14,74.36,,,37.18,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.48,0.5,0.49,0.33,0.14,0.16,0.33,63.24,,,31.62,,,0.103,N,1997,,,,,,,,,,,,,,,,
