,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.24,0.26,0.250,,,,0.57,0.59,0.59,,7.13,,7.13,,,0.042,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.26,0.28,0.270,,,,0.64,0.65,0.65,,5.64,,5.64,,,0.037,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.28,0.3,0.290,,,,0.63,0.65,0.65,,5.74,,5.74,,,0.037,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.3,0.32,0.310,,,,0.64,0.66,0.66,,5.59,,5.59,,,0.037,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.32,0.34,0.330,,,,0.64,0.66,0.66,,5.59,,5.59,,,0.037,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.34,0.36,0.350,,,,0.64,0.65,0.65,,5.68,,5.68,,,0.037,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.36,0.38,0.370,,,,0.63,0.65,0.65,,5.78,,5.78,,,0.037,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.38,0.4,0.390,,,,0.64,0.66,0.66,,5.52,,5.52,,,0.036,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.4,0.45,0.425,,,,0.60,0.62,0.62,,6.38,,6.38,,,0.040,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.45,0.5,0.475,,,,0.71,0.71,0.71,,4.43,,4.43,,,0.032,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.5,0.55,0.525,,,,0.71,0.72,0.72,,4.32,,4.32,,,0.031,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.55,0.6,0.575,,,,0.82,0.81,0.81,,2.94,,2.94,,,0.024,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.6,0.65,0.625,,,,0.84,0.83,0.83,,2.70,,2.70,,,0.022,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.65,0.7,0.675,,,,0.95,0.94,0.94,,1.82,,1.82,,,0.017,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.7,0.75,0.725,,,,0.97,0.96,0.96,,1.67,,1.67,,,0.016,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.75,0.8,0.775,,,,1.13,1.15,1.15,,0.91,,0.91,,,0.010,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.8,0.85,0.825,,,,0.96,0.95,0.95,,1.75,,1.75,,,0.017,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.85,0.9,0.875,,,,0.92,0.91,0.91,,2.00,,2.00,,,0.018,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.9,0.95,0.925,,,,0.82,0.81,0.81,,2.94,,2.94,,,0.024,N,,3,,,,,,,,,,,,,,,
DMA01 S4,M0735,0.95,1,0.975,,,,0.93,0.92,0.92,,1.96,,1.96,,,0.018,N,,3,,,,,,,,,,,,,,,
MCU Sierpe1,M0736,0,0.15,0.075,,,0.18,0.26,0.26,0.18,,21.11,0.99,21.11,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Sierpe1,M0736,0.15,0.3,0.225,,,0.13,0.20,0.21,0.13,,25.17,0.99,25.17,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Sierpe1,M0736,0.3,0.5,0.400,,,0.13,0.16,0.18,0.13,,28.81,1.05,28.81,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Sierpe1,M0736,0.5,1,0.750,,,0.20,0.32,0.32,0.20,,17.15,0.63,17.15,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Sierpe2,M0737,0,0.15,0.075,,,0.35,0.43,0.44,0.35,,11.77,0.47,11.77,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU Sierpe2,M0737,0.15,0.3,0.225,,,0.31,0.39,0.39,0.31,,13.64,0.50,13.64,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Sierpe2,M0737,0.3,0.5,0.400,,,0.28,0.36,0.36,0.28,,15.02,0.54,15.02,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Sierpe2,M0737,0.5,1,0.750,,,0.26,0.41,0.42,0.26,,12.56,0.43,12.56,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Sierpe3,M0738,0,0.15,0.075,,,0.25,0.34,0.34,0.25,,15.79,0.57,15.79,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Sierpe3,M0738,0.15,0.3,0.225,,,0.19,0.30,0.30,0.19,,18.34,0.59,18.34,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Sierpe3,M0738,0.3,0.5,0.400,,,0.19,0.31,0.31,0.19,,17.48,0.54,17.48,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Sierpe3,M0738,0.5,1,0.750,,,0.19,0.34,0.34,0.19,,16.04,0.47,16.04,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Sierpe4,M0739,0,0.15,0.075,,,0.53,0.71,0.72,0.53,,4.39,0.19,4.39,,,0.023,Y,,,,,,,,,,,,,,,,,
MCU Sierpe4,M0739,0.15,0.3,0.225,,,0.47,0.62,0.64,0.47,,5.93,0.23,5.93,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Sierpe4,M0739,0.3,0.5,0.400,,,0.48,0.63,0.65,0.48,,5.79,0.21,5.79,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Sierpe4,M0739,0.5,1,0.750,,,0.35,0.58,0.60,0.60,,6.83,0.22,6.83,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU Sierpe5,M0740,0,0.15,0.075,,,0.24,0.32,0.32,0.24,,16.78,0.58,16.78,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Sierpe5,M0740,0.15,0.3,0.225,,,0.19,0.25,0.25,0.19,,21.47,0.74,21.47,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU Sierpe5,M0740,0.3,0.5,0.400,,,0.21,0.30,0.30,0.21,,18.34,0.60,18.34,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Sierpe5,M0740,0.5,1,0.750,,,0.24,0.34,0.34,0.24,,16.15,0.45,16.15,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Sierpe6,M0741,0,0.15,0.075,,,0.34,0.42,0.43,0.34,,12.16,0.39,12.16,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU Sierpe6,M0741,0.15,0.3,0.225,,,0.25,0.37,0.38,0.25,,14.24,0.39,14.24,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU Sierpe6,M0741,0.3,0.5,0.400,,,0.25,0.41,0.42,0.25,,12.46,0.32,12.46,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU Sierpe6,M0741,0.5,1,0.750,,,0.29,0.40,0.41,0.29,,12.85,0.31,12.85,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Sierpe7,M0742,0,0.15,0.075,,,0.57,0.65,0.67,0.57,,5.34,0.20,5.34,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Sierpe7,M0742,0.15,0.3,0.225,,,0.42,0.56,0.58,0.42,,7.34,0.22,7.34,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU Sierpe7,M0742,0.3,0.5,0.400,,,0.45,0.57,0.59,0.45,,7.25,0.20,7.25,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Sierpe7,M0742,0.5,1,0.750,,,0.53,0.64,0.65,0.53,,5.68,0.17,5.68,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Sierpe8,M0743,0,0.15,0.075,,,0.49,0.58,0.60,0.49,,6.83,0.23,6.83,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Sierpe8,M0743,0.15,0.3,0.225,,,0.39,0.48,0.50,0.39,,9.79,0.28,9.79,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Sierpe8,M0743,0.3,0.5,0.400,,,0.41,0.53,0.55,0.41,,8.28,0.23,8.28,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Sierpe8,M0743,0.5,1,0.750,,,0.47,0.66,0.67,0.47,,5.25,0.17,5.25,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Guarumal9,M0744,0,0.15,0.075,,,0.29,0.30,0.30,0.29,,18.25,0.65,18.25,,,0.053,Y,,,,,,,,,,,,,,,,,
MCU Guarumal9,M0744,0.15,0.3,0.225,,,0.21,0.27,0.27,0.21,,20.46,0.74,20.46,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU Guarumal9,M0744,0.3,0.5,0.400,,,0.30,0.30,0.30,0.30,,18.13,0.63,18.13,,,0.054,Y,,,,,,,,,,,,,,,,,
MCU Guarumal9,M0744,0.5,1,0.750,,,0.43,0.46,0.47,0.43,,10.60,0.35,10.60,,,0.046,Y,,,,,,,,,,,,,,,,,
MCU Guarumal10,M0745,0,0.15,0.075,,,0.40,0.61,0.63,0.40,,6.28,0.28,6.28,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Guarumal10,M0745,0.15,0.3,0.225,,,0.45,0.61,0.63,0.45,,6.18,0.27,6.18,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Guarumal10,M0745,0.3,0.5,0.400,,,0.52,0.61,0.63,0.52,,6.23,0.27,6.23,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Guarumal10,M0745,0.5,1,0.750,,,0.48,0.60,0.62,0.48,,6.40,0.27,6.40,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU Guarumal11,M0746,0,0.15,0.075,,,0.33,0.42,0.43,0.33,,12.09,0.47,12.09,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Guarumal11,M0746,0.15,0.3,0.225,,,0.27,0.29,0.29,0.27,,18.85,0.66,18.85,,,0.051,Y,,,,,,,,,,,,,,,,,
MCU Guarumal11,M0746,0.3,0.5,0.400,,,0.23,0.26,0.26,0.23,,21.18,0.69,21.18,,,0.049,Y,,,,,,,,,,,,,,,,,
MCU Guarumal11,M0746,0.5,1,0.750,,,0.21,0.28,0.28,0.21,,19.48,0.58,19.48,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU Guarumal12,M0747,0,0.15,0.075,,,0.53,0.65,0.66,0.53,,5.44,0.24,5.44,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Guarumal12,M0747,0.15,0.3,0.225,,,0.46,0.59,0.61,0.46,,6.60,0.25,6.60,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Guarumal12,M0747,0.3,0.5,0.400,,,0.46,0.55,0.57,0.46,,7.65,0.24,7.65,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Guarumal12,M0747,0.5,1,0.750,,,0.46,0.52,0.54,0.46,,8.55,0.23,8.55,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Guarumal13,M0748,0,0.15,0.075,,,0.59,0.71,0.72,0.59,,4.30,0.20,4.30,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Guarumal13,M0748,0.15,0.3,0.225,,,0.63,0.68,0.69,0.63,,4.93,0.19,4.93,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU Guarumal13,M0748,0.3,0.5,0.400,,,0.53,0.68,0.69,0.53,,4.91,0.20,4.91,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Guarumal13,M0748,0.5,1,0.750,,,0.68,0.74,0.74,0.68,,3.97,0.16,3.97,,,0.027,Y,,,,,,,,,,,,,,,,,
MCU Guarumal14,M0749,0,0.15,0.075,,,0.51,0.56,0.57,0.51,,7.54,0.29,7.54,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Guarumal14,M0749,0.15,0.3,0.225,,,0.49,0.53,0.55,0.49,,8.17,0.29,8.17,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Guarumal14,M0749,0.3,0.5,0.400,,,0.53,0.52,0.53,0.53,,8.71,0.30,8.71,,,0.046,Y,,,,,,,,,,,,,,,,,
MCU Guarumal14,M0749,0.5,1,0.750,,,0.51,0.55,0.57,0.51,,7.67,0.26,7.67,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Guarumal15,M0750,0,0.15,0.075,,,0.65,0.70,0.71,0.65,,4.53,0.20,4.53,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Guarumal15,M0750,0.15,0.3,0.225,,,0.58,0.68,0.69,0.58,,4.88,0.19,4.88,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Guarumal15,M0750,0.3,0.5,0.400,,,0.56,0.67,0.69,0.56,,4.96,0.20,4.96,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Guarumal15,M0750,0.5,1,0.750,,,0.53,0.66,0.67,0.53,,5.20,0.18,5.20,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Guarumal16,M0751,0,0.15,0.075,,,0.69,0.75,0.75,0.69,,3.80,0.19,3.80,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Guarumal16,M0751,0.15,0.3,0.225,,,0.58,0.70,0.71,0.58,,4.46,0.20,4.46,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Guarumal16,M0751,0.3,0.5,0.400,,,0.57,0.70,0.71,0.57,,4.52,0.19,4.52,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Guarumal16,M0751,0.5,1,0.750,,,0.60,0.70,0.71,0.60,,4.52,0.19,4.52,,,0.027,Y,,,,,,,,,,,,,,,,,
MCU Zacate17,M0752,0,0.15,0.075,,,0.36,0.51,0.53,0.36,,8.76,0.32,8.76,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Zacate17,M0752,0.15,0.3,0.225,,,0.33,0.38,0.39,0.33,,13.86,0.42,13.86,,,0.046,Y,,,,,,,,,,,,,,,,,
MCU Zacate17,M0752,0.3,0.5,0.400,,,0.21,0.38,0.38,0.21,,14.10,0.44,14.10,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Zacate17,M0752,0.5,1,0.750,,,0.21,0.34,0.34,0.21,,15.93,0.42,15.93,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Zacate18,M0753,0,0.15,0.075,,,0.34,0.39,0.39,0.34,,13.58,0.51,13.58,,,0.046,Y,,,,,,,,,,,,,,,,,
MCU Zacate18,M0753,0.15,0.3,0.225,,,0.40,0.39,0.39,0.40,,13.53,0.46,13.53,,,0.054,Y,,,,,,,,,,,,,,,,,
MCU Zacate18,M0753,0.3,0.5,0.400,,,0.52,0.45,0.46,0.52,,10.83,0.33,10.83,,,0.056,Y,,,,,,,,,,,,,,,,,
MCU Zacate18,M0753,0.5,1,0.750,,,0.33,0.42,0.43,0.33,,12.17,0.33,12.17,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Zacate19,M0754,0,0.15,0.075,,,0.46,0.52,0.54,0.46,,8.56,0.28,8.56,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Zacate19,M0754,0.15,0.3,0.225,,,0.27,0.39,0.39,0.27,,13.46,0.35,13.46,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU Zacate19,M0754,0.3,0.5,0.400,,,0.36,0.40,0.40,0.36,,13.17,0.34,13.17,,,0.047,Y,,,,,,,,,,,,,,,,,
MCU Zacate19,M0754,0.5,1,0.750,,,0.33,0.51,0.52,0.33,,9.01,0.23,9.01,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Zacate20,M0755,0,0.15,0.075,,,0.35,0.38,0.39,0.35,,13.82,0.41,13.82,,,0.048,Y,,,,,,,,,,,,,,,,,
MCU Zacate20,M0755,0.15,0.3,0.225,,,0.27,0.34,0.34,0.27,,16.06,0.42,16.06,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU Zacate20,M0755,0.3,0.5,0.400,,,0.26,0.36,0.36,0.26,,15.11,0.39,15.11,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Zacate20,M0755,0.5,1,0.750,,,0.26,0.35,0.35,0.26,,15.31,0.36,15.31,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Zacate21,M0756,0,0.15,0.075,,,0.51,0.68,0.69,0.51,,4.86,0.25,4.86,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Zacate21,M0756,0.15,0.3,0.225,,,0.48,0.55,0.57,0.48,,7.69,0.30,7.69,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Zacate21,M0756,0.3,0.5,0.400,,,0.44,0.55,0.57,0.44,,7.64,0.28,7.64,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Zacate21,M0756,0.5,1,0.750,,,0.42,0.58,0.60,0.42,,6.98,0.24,6.98,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Zacate22,M0757,0,0.15,0.075,,,0.40,0.63,0.65,0.40,,5.78,0.27,5.78,,,0.023,Y,,,,,,,,,,,,,,,,,
MCU Zacate22,M0757,0.15,0.3,0.225,,,0.47,0.62,0.63,0.47,,6.08,0.23,6.08,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Zacate22,M0757,0.3,0.5,0.400,,,0.43,0.51,0.53,0.43,,8.92,0.26,8.92,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Zacate22,M0757,0.5,1,0.750,,,0.44,0.56,0.58,0.44,,7.41,0.21,7.41,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Zacate23,M0758,0,0.15,0.075,,,0.56,0.71,0.72,0.56,,4.36,0.20,4.36,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU Zacate23,M0758,0.15,0.3,0.225,,,0.47,0.67,0.68,0.47,,5.10,0.20,5.10,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU Zacate23,M0758,0.3,0.5,0.400,,,0.51,0.61,0.63,0.51,,6.19,0.21,6.19,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Zacate23,M0758,0.5,1,0.750,,,0.31,0.33,0.33,0.31,,16.64,0.49,16.64,,,0.052,Y,,,,,,,,,,,,,,,,,
MCU Zacate24,M0759,0,0.15,0.075,,,0.45,0.66,0.68,0.45,,5.14,0.23,5.14,,,0.023,Y,,,,,,,,,,,,,,,,,
MCU Zacate24,M0759,0.15,0.3,0.225,,,0.52,0.64,0.66,0.52,,5.61,0.23,5.61,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Zacate24,M0759,0.3,0.5,0.400,,,0.36,0.43,0.44,0.36,,11.87,0.32,11.87,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU Zacate24,M0759,0.5,1,0.750,,,0.22,0.35,0.35,0.22,,15.66,0.36,15.66,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Térraba25,M0760,0,0.15,0.075,,,0.52,0.59,0.61,0.52,,6.68,0.30,6.68,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Térraba25,M0760,0.15,0.3,0.225,,,0.45,0.52,0.53,0.45,,8.66,0.33,8.66,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Térraba25,M0760,0.3,0.5,0.400,,,0.44,0.49,0.50,0.44,,9.54,0.33,9.54,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Térraba25,M0760,0.5,1,0.750,,,0.47,0.53,0.55,0.47,,8.32,0.29,8.32,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Térraba26,M0761,0,0.15,0.075,,,0.69,0.86,0.85,0.69,,2.55,0.15,2.55,,,0.018,Y,,,,,,,,,,,,,,,,,
MCU Térraba26,M0761,0.15,0.3,0.225,,,0.67,0.85,0.84,0.67,,2.64,0.16,2.64,,,0.018,Y,,,,,,,,,,,,,,,,,
MCU Térraba26,M0761,0.3,0.5,0.400,,,0.67,0.84,0.83,0.67,,2.77,0.16,2.77,,,0.019,Y,,,,,,,,,,,,,,,,,
MCU Térraba26,M0761,0.5,1,0.750,,,0.62,0.79,0.79,0.62,,3.24,0.17,3.24,,,0.020,Y,,,,,,,,,,,,,,,,,
MCU Térraba27,M0762,0,0.15,0.075,,,0.70,0.76,0.76,0.70,,3.60,0.17,3.60,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Térraba27,M0762,0.15,0.3,0.225,,,0.54,0.69,0.70,0.54,,4.73,0.20,4.73,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Térraba27,M0762,0.3,0.5,0.400,,,0.46,0.60,0.62,0.46,,6.40,0.25,6.40,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Térraba27,M0762,0.5,1,0.750,,,0.44,0.55,0.56,0.44,,7.82,0.27,7.82,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Térraba28,M0763,0,0.15,0.075,,,0.68,0.82,0.81,0.68,,2.99,0.17,2.99,,,0.020,Y,,,,,,,,,,,,,,,,,
MCU Térraba28,M0763,0.15,0.3,0.225,,,0.71,0.80,0.80,0.71,,3.14,0.16,3.14,,,0.022,Y,,,,,,,,,,,,,,,,,
MCU Térraba28,M0763,0.3,0.5,0.400,,,0.54,0.76,0.76,0.54,,3.60,0.20,3.60,,,0.019,Y,,,,,,,,,,,,,,,,,
MCU Térraba28,M0763,0.5,1,0.750,,,0.61,0.74,0.74,0.61,,3.96,0.19,3.96,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0764,0,0.15,0.075,,,0.28,0.44,0.46,0.28,,11.14,0.47,11.14,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0764,0.15,0.3,0.225,,,0.29,0.36,0.36,0.29,,14.99,0.52,14.99,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0764,0.3,0.5,0.400,,,0.33,0.39,0.40,0.33,,13.42,0.42,13.42,,,0.044,Y,,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0764,0.5,1,0.750,,,0.35,0.44,0.45,0.35,,11.29,0.35,11.29,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU NicoyaColorado,M0764,1,2,1.500,,,0.37,0.52,0.54,0.37,,8.47,0.25,8.47,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0765,0,0.15,0.075,,,0.63,0.84,0.83,0.63,,2.77,0.15,2.77,,,0.017,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0765,0.15,0.3,0.225,,,0.73,0.87,0.86,0.73,,2.46,0.11,2.46,,,0.018,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0765,0.3,0.5,0.400,,,0.76,0.91,0.90,0.76,,2.10,0.09,2.10,,,0.016,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0765,0.5,1,0.750,,,0.64,0.84,0.83,0.64,,2.77,0.11,2.77,,,0.018,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBuenaventura,M0765,1,2,1.500,,,0.76,0.92,0.91,0.76,,2.03,0.08,2.03,,,0.015,Y,,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0766,0,0.15,0.075,,,0.42,0.66,0.68,0.68,,5.16,0.27,5.16,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0766,0.15,0.3,0.225,,,0.38,0.66,0.67,0.67,,5.24,0.25,5.24,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0766,0.3,0.5,0.400,,,0.41,0.72,0.72,0.72,,4.24,0.21,4.24,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0766,0.5,1,0.750,,,0.45,0.71,0.72,0.72,,4.31,0.20,4.31,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU NicoyaNíspero,M0766,1,2,1.500,,,0.41,0.73,0.74,0.74,,4.02,0.19,4.02,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0767,0,0.15,0.075,,,0.60,0.83,0.82,0.60,,2.81,0.20,2.81,,,0.017,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0767,0.15,0.3,0.225,,,0.59,0.85,0.84,0.59,,2.61,0.19,2.61,,,0.015,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0767,0.3,0.5,0.400,,,0.55,0.87,0.86,0.86,,2.45,0.18,2.45,,,0.021,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0767,0.5,1,0.750,,,0.54,0.86,0.85,0.85,,2.57,0.17,2.57,,,0.022,Y,,,,,,,,,,,,,,,,,
MCU NicoyaBebedero,M0767,1,2,1.500,,,0.52,0.83,0.82,0.82,,2.80,0.17,2.80,,,0.023,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0768,0,0.15,0.075,,,0.38,0.49,0.50,0.38,,9.52,0.38,9.52,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0768,0.15,0.3,0.225,,,0.36,0.51,0.53,0.36,,8.74,0.34,8.74,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0768,0.3,0.5,0.400,,,0.37,0.57,0.59,0.37,,7.20,0.28,7.20,,,0.027,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0768,0.5,1,0.750,,,0.39,0.56,0.58,0.39,,7.49,0.27,7.49,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJesús,M0768,1,2,1.500,,,0.39,0.61,0.63,0.39,,6.28,0.23,6.28,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0769,0,0.15,0.075,,,0.61,0.69,0.70,0.61,,4.70,0.25,4.70,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0769,0.15,0.3,0.225,,,0.67,0.66,0.68,0.67,,5.18,0.24,5.18,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0769,0.3,0.5,0.400,,,0.62,0.66,0.67,0.62,,5.27,0.24,5.27,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0769,0.5,1,0.750,,,0.60,0.58,0.60,0.60,,6.89,0.27,6.89,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 1,M0769,1,2,1.500,,,0.43,0.47,0.48,0.43,,10.27,0.32,10.27,,,0.044,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0770,0,0.15,0.075,,,0.89,0.85,0.84,0.89,,2.59,0.14,2.59,,,0.023,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0770,0.15,0.3,0.225,,,0.95,0.83,0.82,0.95,,2.85,0.16,2.85,,,0.027,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0770,0.3,0.5,0.400,,,0.92,0.81,0.80,0.92,,3.03,0.15,3.03,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0770,0.5,1,0.750,,,0.94,0.74,0.74,0.94,,3.99,0.18,3.99,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPuntarenas 2,M0770,1,2,1.500,,,0.92,0.76,0.76,0.92,,3.60,0.15,3.60,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0771,0,0.15,0.075,,,0.44,0.57,0.59,0.44,,7.18,0.33,7.18,,,0.032,Y,,,,,,,,,,,,,,,,,
