,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
RC99 S1,M0018,0.3,0.32,0.310,,,0.52,0.10,0.15,0.15,70.22,,0.70,35.11,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.32,0.34,0.330,,,0.40,0.10,0.15,0.15,70.58,,0.70,35.29,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.34,0.36,0.350,,,0.46,0.09,0.14,0.14,73.37,,0.70,36.69,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.36,0.38,0.370,,,0.46,0.10,0.14,0.14,72.43,,0.70,36.21,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.38,0.4,0.390,,,0.54,0.09,0.14,0.14,74.81,,0.70,37.41,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.4,0.42,0.410,,,0.44,0.10,0.14,0.14,72.12,,,36.06,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.42,0.44,0.430,,,0.40,0.11,0.15,0.15,69.43,,,34.71,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.44,0.46,0.450,,,0.47,0.09,0.14,0.14,72.77,,,36.38,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.46,0.48,0.470,,,0.42,0.09,0.14,0.14,74.36,,,37.18,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.48,0.5,0.490,,,0.33,0.14,0.16,0.33,63.24,,,31.62,,,0.103,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.5,0.52,0.510,,,0.33,0.12,0.15,0.33,67.13,,,33.56,,,0.111,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.52,0.54,0.530,,,0.41,0.13,0.16,0.41,65.27,,,32.64,,,0.134,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.54,0.56,0.550,,,0.34,0.15,0.17,0.34,60.58,,,30.29,,,0.102,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.56,0.58,0.570,,,0.35,0.17,0.18,0.35,56.72,,,28.36,,,0.098,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0,0.02,0.010,,,0.22,0.15,0.17,0.22,59.91,,1.15,29.96,,,0.067,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.02,0.04,0.030,,,0.17,0.20,0.21,0.17,50.97,,1.15,25.48,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.04,0.06,0.050,,,0.17,0.22,0.23,0.17,47.34,,1.15,23.67,,,0.040,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.06,0.08,0.070,,,0.20,0.22,0.22,0.20,47.71,,1.15,23.85,,,0.047,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.08,0.1,0.090,,,0.18,0.22,0.22,0.18,48.02,,1.15,24.01,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.1,0.12,0.110,,,0.22,0.20,0.21,0.22,50.97,,1.15,25.49,,,0.057,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.12,0.14,0.130,,,0.18,0.19,0.20,0.18,52.14,,1.15,26.07,,,0.047,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.14,0.16,0.150,,,0.21,0.19,0.20,0.21,53.23,,1.15,26.62,,,0.057,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.16,0.18,0.170,,,0.17,0.19,0.20,0.17,52.81,,1.15,26.40,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.18,0.2,0.190,,,0.25,0.18,0.20,0.25,54.10,,1.15,27.05,,,0.067,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.2,0.22,0.210,,,0.18,0.17,0.19,0.18,55.93,,1.15,27.97,,,0.050,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.22,0.24,0.230,,,0.21,0.19,0.20,0.21,52.81,,1.15,26.41,,,0.056,N,1997,,,,,,,,,,,,,,,,
