"","NAMES","Value"
"425","Cottle",425
"426","Cotton",426
"427","Cottonwood",427
"428","Covington",428
"429","Coweta",429
"430","Cowley",430
"431","Cowlitz",431
"432","Craig",432
"433","Craighead",433
"434","Crane",434
"435","Craven",435
"436","Crawford",436
"437","Creek",437
"438","Crenshaw",438
"439","Crisp",439
"440","Crittenden",440
"441","Crockett",441
"442","Crook",442
"443","Crosby",443
"444","Cross",444
"445","Crowley",445
"446","Crow Wing",446
"447","Culberson",447
"448","Culebra",448
"449","Cullman",449
"450","Culpeper",450
"451","Cumberland",451
"452","Cuming",452
"453","Currituck",453
"454","Curry",454
"455","Custer",455
"456","Cuyahoga",456
"457","Dade",457
"458","Daggett",458
"459","Dakota",459
"460","Dale",460
"461","Dallam",461
"462","Dallas",462
"463","Dane",463
"464","Daniels",464
"465","Danville",465
"466","Dare",466
"467","Darke",467
"468","Darlington",468
"469","Dauphin",469
"470","Davidson",470
"471","Davie",471
"472","Daviess",472
"473","Davis",473
"474","Davison",474
"475","Dawes",475
"476","Dawson",476
"477","Day",477
"478","Deaf Smith",478
"479","Dearborn",479
"480","De Baca",480
"481","Decatur",481
"482","Deer Lodge",482
"483","Defiance",483
"484","DeKalb",484
"485","Delaware",485
"486","Del Norte",486
"487","Delta",487
"488","Denali",488
"489","Dent",489
"490","Denton",490
"491","Denver",491
"492","Deschutes",492
"493","Desha",493
"494","Des Moines",494
"495","DeSoto",495
"496","De Soto",496
"497","Deuel",497
"498","Dewey",498
"499","DeWitt",499
"500","De Witt",500
"501","Dickens",501
"502","Dickenson",502
"503","Dickey",503
"504","Dickinson",504
"505","Dickson",505
"506","Dillingham",506
"507","Dillon",507
"508","Dimmit",508
"509","Dinwiddie",509
"510","District of Columbia",510
"511","Divide",511
"512","Dixie",512
"513","Dixon",513
"514","Doddridge",514
"515","Dodge",515
"516","Dolores",516
"517","Doña Ana",517
"518","Doniphan",518
"519","Donley",519
"520","Dooly",520
"521","Door",521
"522","Dorado",522
"523","Dorchester",523
"524","Dougherty",524
"525","Douglas",525
"526","Drew",526
"527","Dubois",527
"528","Dubuque",528
"529","Duchesne",529
"530","Dukes",530
"531","Dundy",531
"532","Dunklin",532
"533","Dunn",533
"534","DuPage",534
"535","Duplin",535
"536","Durham",536
"537","Dutchess",537
"538","Duval",538
"539","Dyer",539
"540","Eagle",540
"541","Early",541
"542","East Baton Rouge",542
"543","East Carroll",543
"544","Eastern",544
"545","East Feliciana",545
"546","Eastland",546
"547","Eaton",547
"548","Eau Claire",548
"549","Echols",549
"550","Ector",550
"551","Eddy",551
"552","Edgar",552
"553","Edgecombe",553
"554","Edgefield",554
"555","Edmonson",555
"556","Edmunds",556
"557","Edwards",557
"558","Effingham",558
"559","Elbert",559
"560","El Dorado",560
"561","Elk",561
"562","Elkhart",562
"563","Elko",563
"564","Elliott",564
"565","Ellis",565
"566","Ellsworth",566
"567","Elmore",567
"568","El Paso",568
"569","Emanuel",569
"570","Emery",570
"571","Emmet",571
"572","Emmons",572
"573","Emporia",573
"574","Erath",574
"575","Erie",575
"576","Escambia",576
"577","Esmeralda",577
"578","Essex",578
"579","Estill",579
"580","Etowah",580
"581","Eureka",581
"582","Evangeline",582
"583","Evans",583
"584","Fairbanks North Star",584
"585","Fairfax",585
"586","Fairfield",586
"587","Fajardo",587
"588","Fallon",588
"589","Fall River",589
"590","Falls",590
"591","Falls Church",591
"592","Fannin",592
"593","Faribault",593
"594","Faulk",594
"595","Faulkner",595
"596","Fauquier",596
"597","Fayette",597
"598","Fentress",598
"599","Fergus",599
"600","Ferry",600
"601","Fillmore",601
"602","Finney",602
"603","Fisher",603
"604","Flagler",604
"605","Flathead",605
"606","Fleming",606
"607","Florence",607
"608","Florida",608
"609","Floyd",609
"610","Fluvanna",610
"611","Foard",611
"612","Fond du Lac",612
"613","Ford",613
"614","Forest",614
"615","Forrest",615
"616","Forsyth",616
"617","Fort Bend",617
"618","Foster",618
"619","Fountain",619
"620","Franklin",620
"621","Frederick",621
"622","Fredericksburg",622
"623","Freeborn",623
"624","Freestone",624
"625","Fremont",625
"626","Fresno",626
"627","Frio",627
"628","Frontier",628
"629","Fulton",629
"630","Furnas",630
"631","Gadsden",631
"632","Gage",632
"633","Gaines",633
"634","Galax",634
"635","Gallatin",635
"636","Gallia",636
"637","Galveston",637
"638","Garden",638
"639","Garfield",639
"640","Garland",640
"641","Garrard",641
"642","Garrett",642
"643","Garvin",643
"644","Garza",644
"645","Gasconade",645
"646","Gaston",646
"647","Gates",647
"648","Geary",648
"649","Geauga",649
"650","Gem",650
"651","Genesee",651
"652","Geneva",652
"653","Gentry",653
"654","George",654
"655","Georgetown",655
"656","Gibson",656
"657","Gila",657
"658","Gilchrist",658
"659","Giles",659
"660","Gillespie",660
"661","Gilliam",661
"662","Gilmer",662
"663","Gilpin",663
"664","Glacier",664
"665","Glades",665
"666","Gladwin",666
"667","Glascock",667
"668","Glasscock",668
"669","Glenn",669
"670","Gloucester",670
"671","Glynn",671
"672","Gogebic",672
"673","Golden Valley",673
"674","Goliad",674
"675","Gonzales",675
"676","Goochland",676
"677","Goodhue",677
"678","Gooding",678
"679","Gordon",679
"680","Goshen",680
"681","Gosper",681
"682","Gove",682
"683","Grady",683
"684","Grafton",684
"685","Graham",685
"686","Grainger",686
"687","Grand",687
"688","Grand Forks",688
"689","Grand Isle",689
"690","Grand Traverse",690
"691","Granite",691
"692","Grant",692
"693","Granville",693
"694","Gratiot",694
"695","Graves",695
"696","Gray",696
"697","Grays Harbor",697
"698","Grayson",698
"699","Greeley",699
"700","Green",700
"701","Greenbrier",701
"702","Greene",702
"703","Green Lake",703
"704","Greenlee",704
"705","Greensville",705
"706","Greenup",706
"707","Greenville",707
"708","Greenwood",708
"709","Greer",709
"710","Gregg",710
"711","Gregory",711
"712","Grenada",712
"713","Griggs",713
"714","Grimes",714
"715","Grundy",715
"716","Guadalupe",716
"717","Guam",717
"718","Guánica",718
"719","Guayama",719
"720","Guayanilla",720
"721","Guaynabo",721
"722","Guernsey",722
"723","Guilford",723
"724","Gulf",724
"725","Gunnison",725
"726","Gurabo",726
"727","Guthrie",727
"728","Gwinnett",728
"729","Haakon",729
"730","Habersham",730
"731","Haines",731
"732","Hale",732
