"","Var1","Var2","check"
"940","h03v09","017","OK"
"941","h04v09","017","OK"
"945","h08v09","017","OK"
"946","h09v09","017","OK"
"947","h10v09","017","OK"
"948","h11v09","017","OK"
"949","h12v09","017","OK"
"950","h13v09","017","OK"
"951","h14v09","017","OK"
"953","h16v09","017","OK"
"955","h18v09","017","OK"
"956","h19v09","017","OK"
"957","h20v09","017","OK"
"958","h21v09","017","OK"
"959","h22v09","017","OK"
"960","h23v09","017","OK"
"962","h25v09","017","OK"
"964","h27v09","017","OK"
"965","h28v09","017","OK"
"966","h29v09","017","OK"
"967","h30v09","017","OK"
"968","h31v09","017","OK"
"969","h32v09","017","OK"
"970","h33v09","017","OK"
"971","h34v09","017","OK"
"972","h35v09","017","OK"
"973","h00v08","017","OK"
"974","h01v08","017","OK"
"975","h02v08","017","OK"
"981","h08v08","017","OK"
"982","h09v08","017","OK"
"983","h10v08","017","OK"
"984","h11v08","017","OK"
"985","h12v08","017","OK"
"986","h13v08","017","OK"
"989","h16v08","017","OK"
"990","h17v08","017","OK"
"991","h18v08","017","OK"
"992","h19v08","017","OK"
"993","h20v08","017","OK"
"994","h21v08","017","OK"
"995","h22v08","017","OK"
"996","h23v08","017","OK"
"998","h25v08","017","OK"
"999","h26v08","017","OK"
"1000","h27v08","017","OK"
"1001","h28v08","017","OK"
"1002","h29v08","017","OK"
"1003","h30v08","017","OK"
"1004","h31v08","017","OK"
"1005","h32v08","017","OK"
"1006","h33v08","017","OK"
"1007","h34v08","017","OK"
"1008","h35v08","017","OK"
"1010","h01v07","017","OK"
"1012","h03v07","017","OK"
"1016","h07v07","017","OK"
"1017","h08v07","017","OK"
"1018","h09v07","017","OK"
"1019","h10v07","017","OK"
"1020","h11v07","017","OK"
"1021","h12v07","017","OK"
"1024","h15v07","017","OK"
"1025","h16v07","017","OK"
"1026","h17v07","017","OK"
"1027","h18v07","017","OK"
"1028","h19v07","017","OK"
"1029","h20v07","017","OK"
"1030","h21v07","017","OK"
"1031","h22v07","017","OK"
"1032","h23v07","017","OK"
"1033","h24v07","017","OK"
"1034","h25v07","017","OK"
"1035","h26v07","017","OK"
"1036","h27v07","017","OK"
"1037","h28v07","017","OK"
"1038","h29v07","017","OK"
"1039","h30v07","017","OK"
"1040","h31v07","017","OK"
"1041","h32v07","017","OK"
"1042","h33v07","017","OK"
"1043","h34v07","017","OK"
"1047","h02v06","017","OK"
"1048","h03v06","017","OK"
"1052","h07v06","017","OK"
"1053","h08v06","017","OK"
"1054","h09v06","017","OK"
"1055","h10v06","017","OK"
"1056","h11v06","017","OK"
"1061","h16v06","017","OK"
"1062","h17v06","017","OK"
"1063","h18v06","017","OK"
"1064","h19v06","017","OK"
"1065","h20v06","017","OK"
"1066","h21v06","017","OK"
"1067","h22v06","017","OK"
"1068","h23v06","017","OK"
"1069","h24v06","017","OK"
"1070","h25v06","017","OK"
"1071","h26v06","017","OK"
"1072","h27v06","017","OK"
"1073","h28v06","017","OK"
"1074","h29v06","017","OK"
"1075","h30v06","017","OK"
"1076","h31v06","017","OK"
"1088","h07v05","017","OK"
"1089","h08v05","017","OK"
"1090","h09v05","017","OK"
"1091","h10v05","017","OK"
"1092","h11v05","017","OK"
"1093","h12v05","017","OK"
"1096","h15v05","017","OK"
"1097","h16v05","017","OK"
"1098","h17v05","017","OK"
"1099","h18v05","017","OK"
"1100","h19v05","017","OK"
"1101","h20v05","017","OK"
"1102","h21v05","017","OK"
"1103","h22v05","017","OK"
"1104","h23v05","017","OK"
"1105","h24v05","017","OK"
"1106","h25v05","017","OK"
"1107","h26v05","017","OK"
"1108","h27v05","017","OK"
"1109","h28v05","017","OK"
"1110","h29v05","017","OK"
"1111","h30v05","017","OK"
"1125","h08v04","017","OK"
"1126","h09v04","017","OK"
"1127","h10v04","017","OK"
"1128","h11v04","017","OK"
"1129","h12v04","017","OK"
"1130","h13v04","017","OK"
"1131","h14v04","017","OK"
"1134","h17v04","017","OK"
"1135","h18v04","017","OK"
"1136","h19v04","017","OK"
"1137","h20v04","017","OK"
"1138","h21v04","017","OK"
"1139","h22v04","017","OK"
