FAO90,SoilUnitD90,SoilGroupD90,FAO 90Code,FAO 90remarks,FAO74,SoilUnitD74,SoilGroup74,SoilGroupD74,FAO 74Code,CPCS,SoilUnitDCPCS,SoilGroupCPCS,SoilGroupDCPCS,Correlation,FAO88,SoilUnit8D8,SoilGroup88,SoilGroupD88,Code88,US,SoilUnitDUS,SoilGroupUS,SoilGroupDUS,Correlation,CPSS from report (tentative),WRB (tentative) from report
LVh,Luvic Yermosols,Yermosols,43,1st Approx.,Yl,Luvic Yermosol,Y,Yermosols,39,I/35,Sols minéraux bruts xériques organisés d'apport,I,Sols minéraux bruts,LVh,LVh,Haplic Luvisols,LV,LUVISOLS,,EAE,Haplargid,E,Aridisols,LVh,,
CLh,Calcic Xerosols,Xerosols,47,,Xk,Calcic Xerosol,X,Xerosols,42,VI/32,Sierozems,VI,Sols isohumiques,CLh,CLh,Haplic Calcisols,CL,CALCISOLS,58,EBE,Calciorthid,E,Aridisols,CLh,,
CM,Cambisols,Cambisols,67,,B,Cambisol,B,Cambisols,,,,,,CM,CM,CAMBISOLS,CM,CAMBISOLS,61,,,,,CM,,
CMc,Calcic Cambisols,Cambisols,73,,Bk,Calcic Cambisol,B,Cambisols,63,V/12,Sols bruns calcaires,V,Sols calcimagnésiques,CMc,CMc,Calcaric Cambisols,CM,CAMBISOLS,65,IEE,Xerochrept,I,Inceptisols,CMc,Sol brun calcaire,Calcaric Cambisols
CMd,Dystric Cambisols,Cambisols,69,,Bd,Dystric Cambisol,B,Cambisols,59,VII/11,Sols bruns,VII,Sols brunifiés,CMd,CMd,Dystric Cambisols,CM,CAMBISOLS,63,IEG,Dystrochrept,I,Inceptisols,CMd,,
CMe,Eutric Cambisols,Cambisols,68,,Be,Eutric Cambisol,B,Cambisols,58,VII/11,Sols bruns,VII,Sols brunifiés,CMe,CMe,Eutric Cambisols,CM,CAMBISOLS,62,IEC,Cryiochrept,I,Inceptisols,CMe,,
CMg,Gleyic Cambisols,Cambisols,71,,Bg,Gleyic Cambisol,B,Cambisols,61,VII/11,Sols bruns,VII,Sols brunifiés,CMg,CMg,Gleyic Cambisols,CM,CAMBISOLS,69,IEG,Dystrochrept,I,Inceptisols,CMg,,
CMi,Gelic Cambisols,Cambisols,72,,Bx,Gelic Cambisol,B,Cambisols,62,VII/31,Sols lessivés boréaux,VII,Sols brunifiés,CMi,CMi,Gelic Cambisols,CM,CAMBISOLS,70,IAE,Cryaquept,I,Inceptisols,CMi,,
CMo,Ferralic Cambisols,Cambisols,76,,Bf,Ferralic Cambisol,B,Cambisols,66,VII/41,Sols bruns eutrophes tropicaux,VII,Sols brunifiés,CMo,CMo,Ferralic Cambisols,CM,CAMBISOLS,68,IDE,Dystropept,I,Inceptisols,CMo,,
CMu,Humic Cambisols,Cambisols,70,,Bh,Humic Cambisol,B,Cambisols,60,VII/11,Sols bruns,VII,Sols brunifiés,CMu,CMu,Humic Cambisols,CM,CAMBISOLS,64,IFD,Haplumbrept,I,Inceptisols,CMu,Sol brun humifère,Haplic Umbrisols
