TAXNWRB,count,WRB_2006_NAME
Rhodic Lixisols,43,Haplic Lixisols
Sapric Histosols,43,Sapric Histosols
Stagnic Luvisols,43,Stagnic Luvisols
Eutric Fluvisols,42,Haplic Fluvisols (Eutric)
Haplic Fluvisols,42,Haplic Fluvisols
Petric Calcisol,42,Petric Calcisols
Gleyic Arenosol,41,Haplic Arenosols
Haplic Gypsisols,41,Haplic Gypsisols
Umbric Leptosol,41,Haplic Leptosols
Calcic CHERNOZEM,40,Calcic Chernozems
Gelic Cambisol,40,Haplic Cambisols
Geric Ferralsol,40,Umbric Ferralsols
Profondic Luvisol,40,Haplic Luvisols
Abruptic LUVISOL,39,Haplic Luvisols
Cutanic Lixisol,39,Haplic Lixisols
Hemic Histosols,39,Hemic Histosols
Dystric Cambisol / Umbric Cambisol,38,Haplic Cambisols (Dystric)
Dystric Plinthosol,38,Acric Plinthosols
Sodic Solonchak,38,Haplic Solonchaks (Sodic)
Cutanic Luvisol,36,Haplic Lixisols
Endoleptic VERTISOL,36,Haplic Vertisols
Ferric Luvisols,36,Haplic Luvisols (Ferric)
Salic Fluvisol,36,Haplic Fluvisols
Haplic Greyzem,35,Haplic Phaeozems
Rhodic Acrisols,35,Haplic Acrisols
Rhodic Cambisols,35,Haplic Cambisols
SKELETIC REGOSOL,35,Haplic Regosols (Dystric)
Cutanic Alisol,34,Cutanic Alisols
Eutric Vertisols,34,Haplic Vertisols (Eutric)
Albic Arenosol,33,Albic Arenosols
Calcaric CAMBISOL,33,Haplic Cambisols (Calcaric)
Haplic Fluvisol,33,Haplic Fluvisols
Rustic Podzols,33,Haplic Podzols
Stagnic Cambisol,33,Haplic Cambisols (Humic)
Calcic Gleysol,32,Calcic Gleysols
Chromic Acrisols,32,Haplic Acrisols
CHROMIC CAMBISOL,32,Haplic Cambisols (Chromic)
Haplic Regosols,32,Haplic Regosols (Eutric)
Luvic Stagnosol,32,Luvic Stagnosols
Humic PHAEOZEM,31,Haplic Phaeozems 
Petric Calcisols,31,Petric Calcisols
Sapric Histosol,31,Sapric Histosols
Sodic CALCISOL,31,Haplic Calcisols (Sodic)
Sodic VERTISOL,31,Haplic Vertisols
Aluandic Andosols Dystric,30,Aluandic Andosols
CALCARIC LEPTOSOL,30,Haplic Leptosols
Calcic Solonchak,30,Haplic Solonchaks
Cutanic Acrisol,30,Haplic Acrisols
Endoleptic CALCISOL,30,Haplic Calcisols
Entic Podzols,30,Haplic Podzols
Mollic Fluvisol,30,Haplic Ferralsols
Gleyic Podzols,29,Gleyic Podzols
Lixic Ferralsol,29,Haplic Ferralsols
Cutanic Vertic Alisol,28,Haplic Alisols
Dystric Podzoluvisol,28,Haplic Albeluvisols
Epileptic CALCISOL,28,Haplic Calcisols
Gelic Leptosol,28,Haplic Leptosols
Mollic Calcic Vertisol,28,Calcic Vertisols
Sodic SOLONCHAK,28,Haplic Solonchaks (Sodic)
Umbric Gleysols,28,Umbric Gleysols
Vertic LUVISOL,28,Vertic Luvisols
Epileptic VERTISOL,27,Haplic Vertisols / Lithic Leptosols
Epipetric DURISOL,27,Petric Durisols
Vertic Calcic Chernozem,27,Calcic Chernozems
Gleyic Alisol,26,Haplic Alisols
Gleyic Lixisol,26,Haplic Lixisols
Aridic CALCISOL,25,Haplic Calcisols 
Calcic VERTISOL,25,Calcic Vertisols
FLUVIC CAMBISOL,25,Haplic Cambisols
Gleyic Fluvisol,25,Haplic Fluvisols
Humic CAMBISOL,25,Haplic Cambisols (Humic)
LITHIC LEPTOSOL,25,Lithic Leptosols
Pelli-Calcic Vertisols,25,Calcic Vertisols
Rankers,25,Haplic Leptosols
Albic Plinthosol,24,Acric Plinthosols
Cambic Podzol,24,Haplic Podzols
Epipetrocalcic KASTAÃ‘OZEM,24,Calcic Kastanozems
Eutric Leptosols,24,Haplic Leptosols (Eutric)
