"","Group","count"
"Haplic Regosols (Sodic)","Haplic Regosols (Sodic)",35
"Haplic Solonchaks","Haplic Solonchaks",400
"Haplic Solonchaks (Sodic)","Haplic Solonchaks (Sodic)",135
"Haplic Solonetz","Haplic Solonetz",546
"Haplic Umbrisols","Haplic Umbrisols",59
"Haplic Vertisols","Haplic Vertisols",1063
"Haplic Vertisols (Eutric)","Haplic Vertisols (Eutric)",574
"Hemic Histosols","Hemic Histosols",259
"Histic Albeluvisols","Histic Albeluvisols",13
"Hypoluvic Arenosols","Hypoluvic Arenosols",205
"Leptic Cambisols","Leptic Cambisols",199
"Leptic Luvisols","Leptic Luvisols",229
"Leptic Phaeozems","Leptic Phaeozems",267
"Leptic Regosols","Leptic Regosols",404
"Leptic Umbrisols","Leptic Umbrisols",40
"Lithic Leptosols","Lithic Leptosols",655
"Lixic Plinthosols","Lixic Plinthosols",49
"Luvic Calcisols","Luvic Calcisols",324
"Luvic Chernozems","Luvic Chernozems",377
"Luvic Phaeozems","Luvic Phaeozems",748
"Luvic Planosols","Luvic Planosols",32
"Luvic Stagnosols","Luvic Stagnosols",62
"Mollic Gleysols","Mollic Gleysols",588
"Mollic Leptosols","Mollic Leptosols",162
"Mollic Solonetz","Mollic Solonetz",317
"Mollic Vertisols","Mollic Vertisols",134
"Petric Calcisols","Petric Calcisols",682
"Petric Durisols","Petric Durisols",39
"Plinthic Acrisols","Plinthic Acrisols",156
"Protic Arenosols","Protic Arenosols",323
"Rendzic Leptosols","Rendzic Leptosols",706
"Sapric Histosols","Sapric Histosols",132
"Solodic Planosols","Solodic Planosols",226
"Stagnic Luvisols","Stagnic Luvisols",165
"Turbic Cryosols","Turbic Cryosols",183
"Umbric Albeluvisols","Umbric Albeluvisols",97
"Umbric Ferralsols","Umbric Ferralsols",200
"Umbric Gleysols","Umbric Gleysols",630
"Vertic Cambisols","Vertic Cambisols",246
"Vertic Luvisols","Vertic Luvisols",141
"Vetic Acrisols","Vetic Acrisols",16
"Vitric Andosols","Vitric Andosols",172
"Vitric Cryosols","Vitric Cryosols",13
