"","TAXNWRB","count","WRB_2006_NAME"
"Gelic Cambisol","Gelic Cambisol",40,NA
"Geric Ferralsol","Geric Ferralsol",40,"Geric Ferralsols"
"Profondic Luvisol","Profondic Luvisol",40,NA
"Abruptic LUVISOL","Abruptic LUVISOL",39,NA
"Cutanic Lixisol","Cutanic Lixisol",39,"Cutanic Lixisols"
"Dystric Plinthosol","Dystric Plinthosol",38,NA
"Sodic Solonchak","Sodic Solonchak",38,NA
"Cutanic Luvisol","Cutanic Luvisol",36,"Cutanic Luvisols"
"Endoleptic VERTISOL","Endoleptic VERTISOL",36,"Endoleptic Vertisols"
"Ferric Luvisols","Ferric Luvisols",36,NA
"Salic Fluvisol","Salic Fluvisol",36,"Salic Fluvisols"
"Haplic Greyzem","Haplic Greyzem",35,"Gleyic Acrisols"
"Rhodic Acrisols","Rhodic Acrisols",35,NA
"Rhodic Cambisols","Rhodic Cambisols",35,NA
"SKELETIC REGOSOL","SKELETIC REGOSOL",35,NA
"Cutanic Alisol","Cutanic Alisol",34,"Cutanic Alisols"
"Eutric Vertisols","Eutric Vertisols",34,NA
"Albic Arenosol","Albic Arenosol",33,"Albic Arenosols"
"Calcaric CAMBISOL","Calcaric CAMBISOL",33,NA
"Haplic Fluvisol","Haplic Fluvisol",33,"Haplic Fluvisols"
"Rustic Podzols","Rustic Podzols",33,"Rustic Podzols"
"Stagnic Cambisol","Stagnic Cambisol",33,"Stagnic Cambisols"
"Calcic Gleysol","Calcic Gleysol",32,"Calcic Gleysols"
"Chromic Acrisols","Chromic Acrisols",32,NA
"CHROMIC CAMBISOL","CHROMIC CAMBISOL",32,NA
"Luvic Stagnosol","Luvic Stagnosol",32,"Luvic Stagnosols"
"Humic PHAEOZEM","Humic PHAEOZEM",31,NA
"Sodic CALCISOL","Sodic CALCISOL",31,NA
"Sodic VERTISOL","Sodic VERTISOL",31,"Sodic Vertisols"
"Aluandic Andosols Dystric","Aluandic Andosols Dystric",30,"Aluandic Andosols"
"CALCARIC LEPTOSOL","CALCARIC LEPTOSOL",30,NA
