"","TAXNWRB","count","WRB_2006_NAME"
"Endopetroduric PLANOSOL","Endopetroduric PLANOSOL",3,NA
"Endosalic Gleysols Sodic","Endosalic Gleysols Sodic",3,"Endosalic Gleysols"
"Endoskeletic CAMBISOL","Endoskeletic CAMBISOL",3,NA
"Endoskeletic PHAEOZEM","Endoskeletic PHAEOZEM",3,NA
"Epigleyic FLUVISOL","Epigleyic FLUVISOL",3,"Gleyic Fluvisols"
"Epileptic ACRISOL","Epileptic ACRISOL",3,"Leptic Acrisols"
"Epileptic PLANOSOL","Epileptic PLANOSOL",3,NA
"Epileptic Regosols","Epileptic Regosols",3,"Leptic Regosols"
"Epipetroduric PLANOSOL","Epipetroduric PLANOSOL",3,NA
"Episkeletic CALCISOL","Episkeletic CALCISOL",3,NA
"Episkeletic PLANOSOL","Episkeletic PLANOSOL",3,NA
"Escalic PHAEOZEM","Escalic PHAEOZEM",3,NA
"Eutric  Cambisol","Eutric  Cambisol",3,NA
"Ferral-Chromic Luvisol","Ferral-Chromic Luvisol",3,NA
"Ferralic-Luvic Phaeozem","Ferralic-Luvic Phaeozem",3,"Luvic Phaeozems"
"Ferralic Arenosol (Dystric, Xanthic)","Ferralic Arenosol (Dystric, Xanthic)",3,"Ferralic Arenosols"
"Ferric Lixisols","Ferric Lixisols",3,NA
"Fibric HISTOSOL","Fibric HISTOSOL",3,"Fibric Histosols"
"Fluvic Cambisol (Gypsiric, Calcaric, Chromic)","Fluvic Cambisol (Gypsiric, Calcaric, Chromic)",3,"Fluvic Cambisols"
"Fluvic Gleysol","Fluvic Gleysol",3,"Luvic Gleysols"
"Gleyic  Arenosols","Gleyic  Arenosols",3,NA
"Gleyic Cambisols","Gleyic Cambisols",3,"Technic Acrisols"
"Gleyic FLUVISOL","Gleyic FLUVISOL",3,"Gleyic Fluvisols"
"Gleyic Kastanozems Chromic","Gleyic Kastanozems Chromic",3,"Gleyic Kastanozems"
"Glossic Phaeozems","Glossic Phaeozems",3,NA
"Grumic Vertisol (Calcaric)","Grumic Vertisol (Calcaric)",3,"Grumic Vertisols"
"Hapli-Dystric Arenosol","Hapli-Dystric Arenosol",3,NA
"Haplic Fluvisol (Calcaric)","Haplic Fluvisol (Calcaric)",3,"Haplic Fluvisols"
"Haplic Fluvisol (Calcaric, Siltic)","Haplic Fluvisol (Calcaric, Siltic)",3,"Haplic Fluvisols"
"Haplic Leptosol","Haplic Leptosol",3,"Haplic Leptosols"
"Haplic Leptosols Albic","Haplic Leptosols Albic",3,"Haplic Leptosols"
"Haplic Nitisols","Haplic Nitisols",3,"Haplic Nitisols"
"Humi-Ferralic Umbrisol","Humi-Ferralic Umbrisol",3,"Ferralic Umbrisols"
"Humic ANDOSOL","Humic ANDOSOL",3,NA
"Humic CHERNOZEM","Humic CHERNOZEM",3,NA
"Humic PLINTOSOL","Humic PLINTOSOL",3,NA
"Hyperdystri-Acric Ferralsol","Hyperdystri-Acric Ferralsol",3,"Acric Ferralsols"
"Hyperdystric Acrisols","Hyperdystric Acrisols",3,NA
"Hyperdystric CAMBISOL","Hyperdystric CAMBISOL",3,NA
"Hypersodic LEPTOSOL","Hypersodic LEPTOSOL",3,NA
"Hypersodic PHAEOZEM","Hypersodic PHAEOZEM",3,NA
"Hypocalcic VERTISOL","Hypocalcic VERTISOL",3,"Calcic Vertisols"
"Hypoluvic Arenosol","Hypoluvic Arenosol",3,"Stagnic Acrisols"
"Hyposodi-Pellic Vertisols","Hyposodi-Pellic Vertisols",3,NA
"Hyposodic SOLONCHAK","Hyposodic SOLONCHAK",3,NA
"LEPTIC-YERMIC-CALCARIC REGOSOL","LEPTIC-YERMIC-CALCARIC REGOSOL",3,"Aric Regosols"
"Leptic Luvisol","Leptic Luvisol",3,"Leptic Luvisols"
"Leptic Phaeozems","Leptic Phaeozems",3,"Leptic Phaeozems"
"Leptosol Lithic","Leptosol Lithic",3,NA
"Lithic Leptosols Brunic","Lithic Leptosols Brunic",3,"Lithic Leptosols"
"Lithic Leptosols Humic","Lithic Leptosols Humic",3,"Lithic Leptosols"
"Luvic KASTAﾃ前ZEM","Luvic KASTAﾃ前ZEM",3,NA
"Luvic Kastanozems","Luvic Kastanozems",3,"Luvic Kastanozems"
"Luvic Planosol","Luvic Planosol",3,"Luvic Planosols"
"Luvic Planosols","Luvic Planosols",3,"Luvic Planosols"
"Molli-Gleyic Fluvisols","Molli-Gleyic Fluvisols",3,"Gleyic Fluvisols"
"MOLLIC FLUVISOL","MOLLIC FLUVISOL",3,"Mollic Fluvisols"
"Mollic Leptosols","Mollic Leptosols",3,"Mollic Leptosols"
"Paraplinthic Cambisols","Paraplinthic Cambisols",3,"Plinthic Cambisols"
"Placic LUVISOL","Placic LUVISOL",3,NA
"Plinthic Ferralsols","Plinthic Ferralsols",3,"Plinthic Ferralsols"
"Profondic ACRISOL","Profondic ACRISOL",3,NA
"Profondic LIXISOL","Profondic LIXISOL",3,NA
"Regosol Haplic","Regosol Haplic",3,NA
"Regosol Skeletic","Regosol Skeletic",3,NA
"Rhodi-Ferric Lixisols","Rhodi-Ferric Lixisols",3,NA
"Rhodi-Humic Nitisols","Rhodi-Humic Nitisols",3,NA
"Rhodi-Profondic Lixisols","Rhodi-Profondic Lixisols",3,NA
"Silandic-Umbric Andosol","Silandic-Umbric Andosol",3,"Umbric Andosols"
"Sodi-Gleyic Solonchaks","Sodi-Gleyic Solonchaks",3,"Gleyic Solonchaks"
"Sodic HISTOSOL","Sodic HISTOSOL",3,NA
"Sodic Solonchaks","Sodic Solonchaks",3,NA
"Solodic Planosols Albic","Solodic Planosols Albic",3,"Solodic Planosols"
"Stagnic Calcic Luvic Chernozem","Stagnic Calcic Luvic Chernozem",3,"Luvic Chernozems"
"Stagnic FLUVISOL","Stagnic FLUVISOL",3,"Stagnic Fluvisols"
"Stagnic LUVISOL","Stagnic LUVISOL",3,"Stagnic Luvisols"
"Stagnic Umbrisol","Stagnic Umbrisol",3,"Stagnic Umbrisols"
"Umbri-Humic Acrisols","Umbri-Humic Acrisols",3,NA
"Umbric Geysols Dystric","Umbric Geysols Dystric",3,NA
"Umbric LEPTOSOL","Umbric LEPTOSOL",3,"Umbric Leptosols"
"Umbric Leptosols Dystric","Umbric Leptosols Dystric",3,"Umbric Leptosols"
"Vertic Gleyic Calcic Chernozem","Vertic Gleyic Calcic Chernozem",3,"Calcic Chernozems"
"Vertic KASTAﾃ前ZEM","Vertic KASTAﾃ前ZEM",3,NA
"Vertic PLANOSOL","Vertic PLANOSOL",3,"Vertic Planosols"
"Vetic-Cutanic Acrisol","Vetic-Cutanic Acrisol",3,"Cutanic Acrisols"
"Vetic-Pisoplinthic Acrisol","Vetic-Pisoplinthic Acrisol",3,"Umbric Acrisols"
"YERMIC-CALCARIC LEPTOSOL","YERMIC-CALCARIC LEPTOSOL",3,NA
"Abrupti-Albic Solonetz","Abrupti-Albic Solonetz",2,NA
"Abruptic LIXISOL","Abruptic LIXISOL",2,NA
"Abruptic REGOSOL","Abruptic REGOSOL",2,NA
"Acri-Dystric Cambisol","Acri-Dystric Cambisol",2,NA
"Acric Podzol","Acric Podzol",2,NA
"Albi-Gleyic Arenosols","Albi-Gleyic Arenosols",2,NA
"Albi-Hypoluvic Arenosols","Albi-Hypoluvic Arenosols",2,"Stagnic Acrisols"
"Albic Paraplinthic Arenesols","Albic Paraplinthic Arenesols",2,NA
"Alcalic CALCISOL","Alcalic CALCISOL",2,NA
"Alcalic REGOSOL","Alcalic REGOSOL",2,NA
"Alumi-Ferralic Nitisol","Alumi-Ferralic Nitisol",2,"Ferralic Nitisols"
"Alumi-Vetic Acrisol","Alumi-Vetic Acrisol",2,"Vetic Acrisols"
"Andic CAMBISOL","Andic CAMBISOL",2,"Andic Cambisols"
"Andic Gleysol","Andic Gleysol",2,"Andic Gleysols"
"Areni-Endoleptic Regosols","Areni-Endoleptic Regosols",2,"Leptic Regosols"
"Areni-Gleyic Fluvisols","Areni-Gleyic Fluvisols",2,"Gleyic Fluvisols"
"Areni-Hyposodic Planosols","Areni-Hyposodic Planosols",2,NA
"ARENIC-CALCARIC REGOSOL","ARENIC-CALCARIC REGOSOL",2,"Aric Regosols"
"Arenic PHAEOZEM","Arenic PHAEOZEM",2,NA
"ARENIC REGOSOL","ARENIC REGOSOL",2,NA
"Arenic Regosols","Arenic Regosols",2,NA
"Aridic LEPTOSOL","Aridic LEPTOSOL",2,NA
"Brunic-Ferralic Arenosol","Brunic-Ferralic Arenosol",2,"Ferralic Arenosols"
"Calcari-Leptic Regosols","Calcari-Leptic Regosols",2,"Leptic Regosols"
"CALCARIC FLUVISOL","CALCARIC FLUVISOL",2,NA
"Calcaric Leptosols","Calcaric Leptosols",2,NA
"Calcaric Luvic Phaeozem","Calcaric Luvic Phaeozem",2,"Luvic Phaeozems"
"Calcaric Paraleptic Phaeozem","Calcaric Paraleptic Phaeozem",2,"Leptic Phaeozems"
"Calci-Gleyic Luvisols","Calci-Gleyic Luvisols",2,"Gleyic Luvisols"
"Calcic Chernozems Sodic","Calcic Chernozems Sodic",2,"Calcic Chernozems"
"Calcic Fluvisol (Calcaric)","Calcic Fluvisol (Calcaric)",2,"Calcic Fluvisols"
"Calcic Fluvisols Oxyaquic","Calcic Fluvisols Oxyaquic",2,"Calcic Fluvisols"
"Calcic Luvic Phaeozem","Calcic Luvic Phaeozem",2,"Luvic Phaeozems"
"Calcic LUVISOL","Calcic LUVISOL",2,"Calcic Luvisols"
"Calcic Mollic Vertisol","Calcic Mollic Vertisol",2,"Mollic Vertisols"
"Calcic SOLONETZ","Calcic SOLONETZ",2,"Calcic Solonetz"
"Calcic Vertic Chernozem","Calcic Vertic Chernozem",2,"Vertic Chernozems"
"Calcic Vertisol (Calcaric)","Calcic Vertisol (Calcaric)",2,"Calcic Vertisols"
"Chromi-Abruptic Lixisols","Chromi-Abruptic Lixisols",2,NA
"Chromi-Arenic Luvisols","Chromi-Arenic Luvisols",2,NA
"Chromi-Leptic Cambisols","Chromi-Leptic Cambisols",2,"Leptic Cambisols"
"Chromi-Profondic Acrisols","Chromi-Profondic Acrisols",2,NA
"Chromi-Profondic Luvisols","Chromi-Profondic Luvisols",2,NA
"Chromic CALCISOL","Chromic CALCISOL",2,NA
"Chromic LEPTOSOL","Chromic LEPTOSOL",2,NA
"Chromic LIXISOL","Chromic LIXISOL",2,NA
"Chromic Paraleptic Luvisol","Chromic Paraleptic Luvisol",2,"Leptic Luvisols"
"Cutani-Chromic Luvisols","Cutani-Chromic Luvisols",2,NA
"Cutanic-Gleyic Luvisol","Cutanic-Gleyic Luvisol",2,"Gleyic Luvisols"
"Cutanic Umbric Alisol","Cutanic Umbric Alisol",2,"Umbric Alisols"
"Dystri-Ferralic Arenosol","Dystri-Ferralic Arenosol",2,"Ferralic Arenosols"
"Dystri-Gleyic Arenosols","Dystri-Gleyic Arenosols",2,NA
"Dystri-Luvic Arenosol","Dystri-Luvic Arenosol",2,"Stagnic Acrisols"
"Dystri-Skeletic Regosol","Dystri-Skeletic Regosol",2,NA
"Dystric Arenosol","Dystric Arenosol",2,NA
"Dystric CAMBISOL","Dystric CAMBISOL",2,NA
"Dystric REGOSOL","Dystric REGOSOL",2,NA
"Endogleyic Planosol","Endogleyic Planosol",2,"Endogleyic Planosols"
"Endogleyic REGOSOL","Endogleyic REGOSOL",2,"Endogleyic Regosols"
"Endoleptic Cambisol","Endoleptic Cambisol",2,"Leptic Cambisols"
"Endoleptic Mollic Vertisol","Endoleptic Mollic Vertisol",2,"Mollic Vertisols"
"Endoleptic Umbrisol","Endoleptic Umbrisol",2,"Leptic Umbrisols"
"Endopetrocalcic VERTISOL","Endopetrocalcic VERTISOL",2,"Calcic Vertisols"
"Endosalic Gleysol","Endosalic Gleysol",2,"Endosalic Gleysols"
"Endoskeletic PLANOSOL","Endoskeletic PLANOSOL",2,NA
"Endosodic GLEYSOL","Endosodic GLEYSOL",2,NA
"Epidystric LUVISOL","Epidystric LUVISOL",2,NA
"Epigleyi-Salic Fluvisols","Epigleyi-Salic Fluvisols",2,"Salic Fluvisols"
"Epileptic LIXISOL","Epileptic LIXISOL",2,"Leptic Lixisols"
"Epipetrocalcic CALCISOL","Epipetrocalcic CALCISOL",2,NA
"Episkeletic PHAEOZEM","Episkeletic PHAEOZEM",2,NA
"Escalic PLANOSOL","Escalic PLANOSOL",2,"Alic Planosols"
"Eutri-Arenic Fluvisols","Eutri-Arenic Fluvisols",2,NA
"Eutri-Arenic Regosols","Eutri-Arenic Regosols",2,NA
"Eutri-Epileptic Regosols","Eutri-Epileptic Regosols",2,"Leptic Regosols"
"Eutri-Gleyic Arenosols","Eutri-Gleyic Arenosols",2,NA
"Eutri-Gleyic Fluvisols","Eutri-Gleyic Fluvisols",2,"Gleyic Fluvisols"
"Eutri-Rubic Arenosols","Eutri-Rubic Arenosols",2,"Rubic Arenosols"
"Eutri-Skeletic Regosols","Eutri-Skeletic Regosols",2,NA
"Eutric Leptic Regosol","Eutric Leptic Regosol",2,"Leptic Regosols"
"Eutric Planosols","Eutric Planosols",2,NA
"Ferrali-Gleyic Arenosols","Ferrali-Gleyic Arenosols",2,NA
"Ferrali-Luvic Arenosol","Ferrali-Luvic Arenosol",2,"Stagnic Acrisols"
"Ferralic-Hypoluvic-Brunic Arenosol","Ferralic-Hypoluvic-Brunic Arenosol",2,"Brunic Arenosols"
"Ferralic-Hypoluvic-Rubic Arenosol","Ferralic-Hypoluvic-Rubic Arenosol",2,"Rubic Arenosols"
"Ferralic-Rubic-Protic Arenosol","Ferralic-Rubic-Protic Arenosol",2,"Protic Arenosols"
"Ferralic Nitisol","Ferralic Nitisol",2,"Ferralic Nitisols"
"Ferralic Skeletic Cambisol","Ferralic Skeletic Cambisol",2,NA
"Ferri-Profondic Luvisols","Ferri-Profondic Luvisols",2,NA
"FLUVIC-CHROMIC CAMBISOL","FLUVIC-CHROMIC CAMBISOL",2,NA
"Fluvic Vertic Cambisol (Calcaric)","Fluvic Vertic Cambisol (Calcaric)",2,"Vertic Cambisols"
"Folic HISTOSOL","Folic HISTOSOL",2,"Folic Histosols"
"Gleyic Acrisols","Gleyic Acrisols",2,"Gleyic Acrisols"
"Gleyic Calcic Vertisol","Gleyic Calcic Vertisol",2,"Calcic Vertisols"
"Gleyic Luvic Phaeozem","Gleyic Luvic Phaeozem",2,"Luvic Phaeozems"
"Gleyic Stagnic Calcic Chernozem","Gleyic Stagnic Calcic Chernozem",2,"Calcic Chernozems"
"Gleyic Stagnic Phaeozem","Gleyic Stagnic Phaeozem",2,"Stagnic Phaeozems"
"Gleyic Vertisol","Gleyic Vertisol",2,"Gleyic Vertisols"
"Gleysol","Gleysol",2,NA
"Hapli-Acric Ferralsol","Hapli-Acric Ferralsol",2,"Acric Ferralsols"
"Hapli-Humic Umbrisol","Hapli-Humic Umbrisol",2,NA
"HAPLIC / ARENIC REGOSOL","HAPLIC / ARENIC REGOSOL",2,NA
"Haplic Andosols","Haplic Andosols",2,"Haplic Andosols"
"Haplic Cambisols","Haplic Cambisols",2,"Haplic Cambisols"
"Haplic Cambisols Calcaric","Haplic Cambisols Calcaric",2,"Haplic Cambisols"
"Haplic Ferralsol (Dystric)","Haplic Ferralsol (Dystric)",2,"Haplic Ferralsols"
"Haplic Ferralsol (Dystric, Rhodic)","Haplic Ferralsol (Dystric, Rhodic)",2,"Haplic Ferralsols"
"Haplic Fluvisol (Calcaric, Skeletic)","Haplic Fluvisol (Calcaric, Skeletic)",2,"Haplic Fluvisols"
"Haplic Gleysols Eutric","Haplic Gleysols Eutric",2,"Haplic Gleysols"
"Haplic Gypsisols","Haplic Gypsisols",2,"Haplic Gypsisols"
"Haplic Kastanozems","Haplic Kastanozems",2,"Haplic Kastanozems"
"Haplic Phaeozems Arenic","Haplic Phaeozems Arenic",2,"Haplic Phaeozems"
"Haplic Umbrisols Hyperdystric","Haplic Umbrisols Hyperdystric",2,"Haplic Umbrisols"
"Haplic Vertisol (Bathygypsic, Calcaric)","Haplic Vertisol (Bathygypsic, Calcaric)",2,"Haplic Vertisols"
"Histic Fluvisols Oxyaquic","Histic Fluvisols Oxyaquic",2,"Histic Fluvisols"
"Histic Umbrisol","Histic Umbrisol",2,"Histic Umbrisols"
"Humi-Mollic Fluvisols","Humi-Mollic Fluvisols",2,"Mollic Fluvisols"
"Humic FLUVISOL","Humic FLUVISOL",2,NA
"Humic GLEYSOL","Humic GLEYSOL",2,NA
"Hyperalic-Plinthic Alisol","Hyperalic-Plinthic Alisol",2,"Plinthic Alisols"
"Hypercalcic Calcisols","Hypercalcic Calcisols",2,"Hypercalcic Calcisols"
"Hyperdystri-Alumic Ferralsol","Hyperdystri-Alumic Ferralsol",2,NA
"Hyperdystri-Vetic Ferralsol","Hyperdystri-Vetic Ferralsol",2,"Vetic Ferralsols"
"Hyperdystric ACRISOL","Hyperdystric ACRISOL",2,NA
"Hyperdystric UMBRISOL","Hyperdystric UMBRISOL",2,NA
"Hyperescalic LUVISOL","Hyperescalic LUVISOL",2,"Escalic Luvisols"
"Hypereutric REGOSOL","Hypereutric REGOSOL",2,NA
"HYPERSKELETIC-CALCARIC LEPTOSOL","HYPERSKELETIC-CALCARIC LEPTOSOL",2,NA
"Hypersodic CHERNOZEM","Hypersodic CHERNOZEM",2,NA
"Hypersodic HISTOSOL","Hypersodic HISTOSOL",2,NA
"Hypocalci-Luvic Calcisols","Hypocalci-Luvic Calcisols",2,"Luvic Calcisols"
"Hyposalic-Gypsic Solonetz","Hyposalic-Gypsic Solonetz",2,"Gypsic Solonetz"
"Hyposalic CALCISOL","Hyposalic CALCISOL",2,NA
"Hyposalic SOLONETZ","Hyposalic SOLONETZ",2,"Salic Solonetz"
"Hyposodic LEPTOSOL","Hyposodic LEPTOSOL",2,NA
"Hyposodic Planosols","Hyposodic Planosols",2,NA
"LEPTIC-CALCARIC-SKELETIC CAMBISOL","LEPTIC-CALCARIC-SKELETIC CAMBISOL",2,NA
"LEPTIC-CALCARIC-SKELETIC REGOSOL","LEPTIC-CALCARIC-SKELETIC REGOSOL",2,NA
"LEPTIC-CALCIC GYPSISOL","LEPTIC-CALCIC GYPSISOL",2,"Calcic Gypsisols"
"LEPTIC-GYPSIC-YERMIC SOLONCHACK","LEPTIC-GYPSIC-YERMIC SOLONCHACK",2,NA
"Leptic Acrisol","Leptic Acrisol",2,"Leptic Acrisols"
"Leptosol Skeletic","Leptosol Skeletic",2,NA
"LITHIC-HYPERSKELETIC-CALCARIC LEPTOSOL","LITHIC-HYPERSKELETIC-CALCARIC LEPTOSOL",2,NA
"Lixic-Ferralic-Mollic Nitisol","Lixic-Ferralic-Mollic Nitisol",2,"Mollic Nitisols"
"LUVIC CALCISOL","LUVIC CALCISOL",2,"Luvic Calcisols"
"Luvic Vertic Phaeozem","Luvic Vertic Phaeozem",2,"Vertic Phaeozems"
"Mesotrophic VERTISOL","Mesotrophic VERTISOL",2,"Mesotrophic Vertisols"
"Molihumic GLEYSOL","Molihumic GLEYSOL",2,NA
"Mollic (Andic?) Andosol (Eutric, Clayic)","Mollic (Andic?) Andosol (Eutric, Clayic)",2,NA
"Mollic ANDOSOL","Mollic ANDOSOL",2,"Mollic Andosols"
"Mollic Fluvisols","Mollic Fluvisols",2,"Mollic Fluvisols"
"Mollic Gleyic Fluvisol","Mollic Gleyic Fluvisol",2,"Gleyic Fluvisols"
"Mollic Gleysols","Mollic Gleysols",2,"Mollic Gleysols"
"Mollic SOLONETZ","Mollic SOLONETZ",2,"Mollic Solonetz"
"Niti-calcaric Cambisol","Niti-calcaric Cambisol",2,NA
"Niti-dystric Gleysol","Niti-dystric Gleysol",2,NA
"Orthic Acrisol","Orthic Acrisol",2,"Fractiplinthic Acrisols"
"Orthic Luvisol","Orthic Luvisol",2,"Plinhtic Acrisols"
"Orticalcic KASTAﾃ前ZEM","Orticalcic KASTAﾃ前ZEM",2,NA
"Pelli-Grumic Vertisol","Pelli-Grumic Vertisol",2,"Grumic Vertisols"
"(Other)","(Other)",1238,NA
