World_Soil_Map_1974_Group,World_Soil_Map_1974_Subgroup,World_Soil_Map_1984_Group,World_Soil_Map_1984_Subgroup,WRB_1994_Group,WRB_1994_Subgroup,WRB_1998_Group,WRB_1998_Subgroup,WRB_2006_Group,WRB_2006_Prefixes,WRB_2006_Suffixes,WRB_2014_Group,WRB_2014_Subgroup,WRB_2006_NAME,FAO_1974_NAME,WRB_1994_NAME
,,,,Stagnosols,,,,Stagnosols,Gypsic,,,,Gypsic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Petrocalcic,,,,Petrocalcic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Calcic,,,,Calcic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Alic,,,,Alic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Acric,,,,Acric Stagnosols, , Stagnosols
,,,,Stagnosols,Luvic,Luvisols,Stagnic,Stagnosols,Luvic,,,,Luvic Stagnosols, ,Luvic Stagnosols
,,,,Stagnosols,,,,Stagnosols,Lixic,,,,Lixic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Umbric,,,,Umbric Stagnosols, , Stagnosols
,,,,Stagnosols,Haplic,Cambisols,Stagnic,Stagnosols,Haplic,,,,Haplic Stagnosols, ,Haplic Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Thionic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,Albic,Planosols,Albic,Stagnosols,Haplic,Albic,,,Haplic Stagnosols, ,Albic Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Manganiferric,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Ferric,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Ruptic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Geric,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Calcaric,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Ornithic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Sodic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Alcalic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Alumic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Dystric,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Eutric,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,Gelic,,,Stagnosols,Haplic,Gelic,,,Haplic Stagnosols, ,Gelic Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Greyic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Placic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Arenic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Siltic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Clayic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Rhodic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Chromic,,,Haplic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Haplic,Drenic,,,Haplic Stagnosols, , Stagnosols
,,,,,,,,Technosols,Ekranic,,,,Ekranic Technosols, , 
,,,,,,,,Technosols,Linic,,,,Linic Technosols, , 
,,,,,,,,Technosols,Urbic,,,,Urbic Technosols, , 
,,,,,,,,Technosols,Spolic,,,,Spolic Technosols, , 
,,,,,,,,Technosols,Garbic,,,,Garbic Technosols, , 
,,,,,,,,Technosols,Folic,,,,Folic Technosols, , 
,,,,,,,,Technosols,Histic,,,,Histic Technosols, , 
,,,,,,,,Technosols,Cryic,,,,Cryic Technosols, , 
,,,,,,,,Technosols,Leptic,,,,Leptic Technosols, , 
,,,,,,,,Technosols,Fluvic,,,,Fluvic Technosols, , 
,,,,,,,,Technosols,Gleyic,,,,Gleyic Technosols, , 
,,,,,,,,Technosols,Vitric,,,,Vitric Technosols, , 
,,,,,,,,Technosols,Stagnic,,,,Stagnic Technosols, , 
,,,,,,,,Technosols,Mollic,,,,Mollic Technosols, , 
,,,,,,,,Technosols,Alic,,,,Alic Technosols, , 
,,,,,,,,Technosols,Acric,,,,Acric Technosols, , 
,,,,,,,,Technosols,Luvic,,,,Luvic Technosols, , 
,,,,,,,,Technosols,Lixic,,,,Lixic Technosols, , 
,,,,,,,,Technosols,Umbric,,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Calcaric,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Toxic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Reductic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Humic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Oxiaquic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Densic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Skeletic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Arenic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Siltic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Clayic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Drenic,,,Umbric Technosols, , 
,,,,,,,,Technosols,Umbric,Novic,,,Umbric Technosols, , 
,,,,Umbrisols,,Umbrisols,,Umbrisols,Folic,,,,Folic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Histic,,,,Histic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Technic,,,,Technic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,Leptic,Umbrisols,Leptic,,,,Leptic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Fluvic,,,,Fluvic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,Gleyic,Umbrisols,Endogleyic,,,,Endogleyic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Vitric,,,,Vitric Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Andic,,,,Andic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,Ferralic,Umbrisols,Ferralic,,,,Ferralic Umbrisols, , Umbrisols
